idreq;amphId;amphTypeName;fplmunName;fplcouName;lat;lon;transcription;family
0;10;"Dressel 20";"Worms";"Germany";49.6489169266645902;8.32491214567114035;"PIVLCRISPART?";"PIVLICRISPI"
1;100;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"KVFIGGRVMCOLSICETASI";"KV"
2;1001;"Dressel 20";"Ampurias";"Spain";42.1395430000000033;3.11780899999999983;"CANTQ";"CANTONIQVIETI"
3;1005;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITALICAE";"LIDFIT"
4;1006;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITALICAE";"LIDFIT"
5;1007;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITALICAE";"LIDFIT"
6;10078;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"A..."
7;10079;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"AELFO";"ALFO"
8;1008;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITALICAE";"LIDFIT"
9;10080;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"AELFO";"ALFO"
10;10080;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"PORODV";"POROCODV"
11;10081;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"AIS";"AIS"
12;10082;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"AIS";"AIS"
13;10083;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"ALBMFMALCACIRC?";"ALBMFMALCACIRC"
14;10084;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"ASAENI";"A"
15;10085;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"ATITTAE";"ATITAE"
16;10086;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"AVGGNN";"AVGN"
17;10086;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"FPAT";"FPAT"
18;10087;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"BELSI";"BELSI"
19;10088;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"BROODV";"POROCODV"
20;10089;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"BROCOD";"POROCODV"
21;1009;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITALI";"LIDFIT"
22;10090;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"C..."
23;10091;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"GA…"
24;10092;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"GAL…"
25;10093;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CALLEC & GALLEC"
26;10094;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CANTONIQVIETI";"CANTONIQVIETI"
27;10095;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CANTONIQVIETI";"CANTONIQVIETI"
28;10096;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CANTQVIETI";"CANTONIQVIETI"
29;10097;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CANTQ";"CANTONIQVIETI"
30;10098;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CANTONIQVIE...";"CANTONIQVIETI"
31;10099;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"GAVFL";"GAVFL"
32;101;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"KVFIGGRVMCOLSICETASI";"KV"
