id;lat;long;type;site;code
10901;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;LFCCVCAT
15474;-0.0931450000000000056;51.514248000000002;Dressel 20;London;PAR
37233;11.0999999999999996;42.25;Dolium;Isola di Giannutri;CASSIUSFECIT
24546;4.84671099999999999;45.7484570000000019;Dressel 20;Lyon?;AFRICANI
41029;17.9333330000000011;40.6333330000000004;Brindisian amphora;Brindisi;ANINIANA
25204;2.306759;50.6455860000000015;Dressel 20;Rebecques;SCALENSIA
18497;6.21203000000000038;42.9966879999999989;Dressel 2-4 Italian;Île de Porquerolles;MLIVICAVS
28539;12.483333;41.8999999999999986;Dressel 20;Roma;CAP
23668;-0.751789000000000041;37.8022419999999997;Lamboglia 2;San Pedro;NICIA
9043;3.00881599999999993;43.1844170000000034;Pascual 1;Narbonne;PA
218;12.483333;41.8999999999999986;Dressel 20;Roma;ASVL
12692;9.76666699999999999;47.5;Dressel 20;Bregenz;ROMANI
10799;3.00881599999999993;43.1844170000000034;Pascual 1;Narbonne;QFS
3760;12.483333;41.8999999999999986;Dressel 20;Roma;POLYCLI
7183;-5.52751000000000037;37.6589609999999979;Dressel 20;Lora del Río;LIT
1265;12.483333;41.8999999999999986;Dressel 20;Roma;CAEICAEL
31743;10.3158580000000004;47.7322089999999974;Dressel 20;Kempten;PHILOC
36633;2.00799400000000006;41.3961449999999971;Dressel 2-4 Catalan;Sant Vicenç dels Horts;THE
35119;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;DIOCLES
8848;-5.55703200000000042;34.0736970000000028;Dressel 20;Volubilis;MAR
12002;9.15648499999999999;49.2297080000000022;Dressel 20;Bad Wimpfen;PNNSH
38875;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;IIIVNMELISSIETMELISSEHEDERA
3729;12.483333;41.8999999999999986;Dressel 20;Roma;FPAT
25670;12.483333;41.8999999999999986;Dressel 20;Roma;LAL
18188;2.94940699999999989;39.1446090000000027;Dressel 20;Isla de Cabrera;PNN
36033;-6.04184300000000007;37.4339530000000025;Amphora incerta;Santiponce;FANV
36656;2.00799400000000006;41.3961449999999971;Pascual 1;Sant Vicenç dels Horts;SIGNUM
15590;1.3333330000000001;51.2833329999999989;Dressel 20;Edinburgh;CANTONIQVIET
12753;7.14111899999999977;50.2843930000000015;Gauloise 4;Monrealer Wald;CDA
18930;8.27909599999999912;49.9841880000000032;Dressel 20;Mainz;AVGN
19423;10.3333329999999997;36.8666669999999996;Dressel 2-4 Catalan;Cartago;OPT
21187;4.48594999999999988;47.5378540000000029;Dressel 1;Alise-Sainte-Reine;NEVVEENEVVELE
28794;12.483333;41.8999999999999986;Dressel 20;Roma;CONSFC
17437;4.84671099999999999;45.7484570000000019;Dressel 20;Lyon?;POLYCLIT
2389;12.483333;41.8999999999999986;Dressel 20;Roma;PERSEIPFRSFI
