id;lat;long;type;site;code
10901;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;LFCCVCAT
15474;-0.0931450000000000056;51.514248000000002;Dressel 20;London;PAR
24546;4.84671099999999999;45.7484570000000019;Dressel 20;Lyon?;AFRICANI
25204;2.306759;50.6455860000000015;Dressel 20;Rebecques;SCALENSIA
28539;12.483333;41.8999999999999986;Dressel 20;Roma;CAP
218;12.483333;41.8999999999999986;Dressel 20;Roma;ASVL
12692;9.76666699999999999;47.5;Dressel 20;Bregenz;ROMANI
3760;12.483333;41.8999999999999986;Dressel 20;Roma;POLYCLI
7183;-5.52751000000000037;37.6589609999999979;Dressel 20;Lora del Río;LIT
1265;12.483333;41.8999999999999986;Dressel 20;Roma;CAEICAEL
31743;10.3158580000000004;47.7322089999999974;Dressel 20;Kempten;PHILOC
8848;-5.55703200000000042;34.0736970000000028;Dressel 20;Volubilis;MAR
12002;9.15648499999999999;49.2297080000000022;Dressel 20;Bad Wimpfen;PNNSH
38875;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;IIIVNMELISSIETMELISSEHEDERA
3729;12.483333;41.8999999999999986;Dressel 20;Roma;FPAT
25670;12.483333;41.8999999999999986;Dressel 20;Roma;LAL
18188;2.94940699999999989;39.1446090000000027;Dressel 20;Isla de Cabrera;PNN
15590;1.3333330000000001;51.2833329999999989;Dressel 20;Edinburgh;CANTONIQVIET
18930;8.27909599999999912;49.9841880000000032;Dressel 20;Mainz;AVGN
28794;12.483333;41.8999999999999986;Dressel 20;Roma;CONSFC
17437;4.84671099999999999;45.7484570000000019;Dressel 20;Lyon?;POLYCLIT
2389;12.483333;41.8999999999999986;Dressel 20;Roma;PERSEIPFRSFI
16277;-0.783332999999999946;50.8333330000000032;Dressel 20;Chicester;ISSI
126;12.483333;41.8999999999999986;Dressel 20;Roma;ACIRGIF
39725;3.22237399999999985;43.345286999999999;Dressel 20;Beziers;LVALEAME
19541;6.7352369999999997;43.4328580000000031;Dressel 20;Fréjus;LANSEC
18879;8.608962;49.4730709999999974;Dressel 20;Ladenburg (Lopodunum);QIMFN
7431;7.71720499999999987;47.5368179999999967;Dressel 20;Augst;CANTONIQVIETI
14385;6.95000000000000018;50.9333329999999975;Dressel 20;Köln;PQFLFL
5256;3.10437099999999999;42.5175940000000026;Dressel 20;Port-Vendres;CFAV
15035;1.43318799999999991;43.5995160000000013;Dressel 20;Toulouse;MAR
25913;12.483333;41.8999999999999986;Dressel 20;Roma;FCAERAR
3451;12.483333;41.8999999999999986;Dressel 20;Roma;PNNF
7509;7.71720499999999987;47.5368179999999967;Dressel 20;Augst;CIALB
992;12.483333;41.8999999999999986;Dressel 20;Roma;VIRIIII
30476;2.29999999999999982;49.8999999999999986;Dressel 20;Amiens;QANTR
1552;12.483333;41.8999999999999986;Dressel 20;Roma;BELLIBELI
