X;Y;id;lat;long;type;site;code;name;COUNT
-955534.176698202;5921032.25118975;15474;-0.093145000000000;51.514248000000002;Dressel 20;London;PAR;Britannia;1
-317058.028747677;4725246.08883145;37233;11.100000000000000;42.250000000000000;Dolium;Isola di Giannutri;CASSIUSFECIT;Italia;1
-755826.511770254;5194589.90619483;24546;4.846711000000000;45.748457000000002;Dressel 20;Lyon?;AFRICANI;Lugdunensis;1
240645.609957865;4502577.12341599;41029;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;ANINIANA;Italia;1
-816695.662067158;5779207.96925722;25204;2.306759000000000;50.645586000000002;Dressel 20;Rebecques;SCALENSIA;Belgica;1
-706238.442912149;4867845.60383004;18497;6.212030000000000;42.996687999999999;Dressel 2-4 Italian;Île de Porquerolles;MLIVICAVS;Narbonensis;1
-1425659.29010458;4414207.09190867;23668;-0.751789000000000;37.802242000000000;Lamboglia 2;San Pedro;NICIA;Tarraconensis;1
-963254.645016083;4941243.02255826;9043;3.008816000000000;43.184417000000003;Pascual 1;Narbonne;PA;Narbonensis;1
-345522.867144488;5322218.32288708;12692;9.766667000000000;47.500000000000000;Dressel 20;Bregenz;ROMANI;Raetia;1
-963254.645016083;4941243.02255826;10799;3.008816000000000;43.184417000000003;Pascual 1;Narbonne;QFS;Narbonensis;1
-300643.27273879;5342086.36235854;31743;10.315858000000000;47.732208999999997;Dressel 20;Kempten;PHILOC;Raetia;1
-1090919.96526603;4760579.64264189;36633;2.007994000000000;41.396144999999997;Dressel 2-4 Catalan;Sant Vicenç dels Horts;THE;Tarraconensis;1
233795.948793698;4508377.81717628;35119;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;DIOCLES;Italia;1
-1981744.8567853;4107083.95851789;8848;-5.557032000000000;34.073697000000003;Dressel 20;Volubilis;MAR;Mauretania Tingitana;1
-361335.878109782;5520861.34718471;12002;9.156485000000000;49.229708000000002;Dressel 20;Bad Wimpfen;PNNSH;Germania Superior;1
-1064829.23760549;4491345.3112758;18188;2.949407000000000;39.144609000000003;Dressel 20;Isla de Cabrera;PNN;Tarraconensis;1
-1090919.96526603;4760579.64264189;36656;2.007994000000000;41.396144999999997;Pascual 1;Sant Vicenç dels Horts;SIGNUM;Tarraconensis;1
-865236.498132087;5867415.45833038;15590;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;CANTONIQVIET;Britannia;1
-485508.314167858;5662757.01216428;12753;7.141119000000000;50.284393000000001;Gauloise 4;Monrealer Wald;CDA;Germania Superior;1
-410621.150909084;5614880.89712105;18930;8.279095999999999;49.984188000000003;Dressel 20;Mainz;AVGN;Germania Superior;1
-452266.787599882;4133617.898619;19423;10.333333000000000;36.866667000000000;Dressel 2-4 Catalan;Cartago;OPT;Africa Proconsularis;1
-741107.494160932;5398662.61806195;21187;4.485950000000000;47.537854000000003;Dressel 1;Alise-Sainte-Reine;NEVVEENEVVELE;Lugdunensis;1
-755826.511770254;5194589.90619483;17437;4.846711000000000;45.748457000000002;Dressel 20;Lyon?;POLYCLIT;Lugdunensis;1
-1025696.772362;5861141.41927802;16277;-0.783333000000000;50.833333000000003;Dressel 20;Chicester;ISSI;Britannia;1
-758879.15566038;5169350.34629686;24948;4.873453000000000;45.524785000000001;Amphora incerta;Vienne;LIC;Narbonensis;1
-941931.524635747;4955300.3005907;39725;3.222374000000000;43.345286999999999;Dressel 20;Beziers;LVALEAME;Narbonensis;1
-1981744.8567853;4107083.95851789;8908;-5.557032000000000;34.073697000000003;Africana;Volubilis;AVSPILEPTI;Mauretania Tingitana;1
-655067.376539272;4908806.22959773;19541;6.735237000000000;43.432858000000003;Dressel 20;Fréjus;LANSEC;Narbonensis;1
-396564.854142407;5554272.65431498;18879;8.608962000000000;49.473070999999997;Dressel 20;Ladenburg (Lopodunum);QIMFN;Germania Superior;1
-1076901.0270608;4757664.54939025;17349;2.174100000000000;41.398370999999997;Pascual 1;Barcelona;V;Tarraconensis;1
-498816.986459172;5350972.71357136;7431;7.717205000000000;47.536817999999997;Dressel 20;Augst;CANTONIQVIETI;Germania Superior;1
-485175.276326217;5737049.38507196;14385;6.950000000000000;50.933332999999998;Dressel 20;Köln;PQFLFL;Germania Inferior;1
-971780.259372865;4865280.20794199;5256;3.104371000000000;42.517594000000003;Dressel 20;Port-Vendres;CFAV;Narbonensis;1
-288371.874814686;4744460.90411078;25486;11.416667000000000;42.450000000000003;Rodia Antiqua;Capalbio;MHNODOPOYEM;Italia;1
233795.948793698;4508377.81717628;35829;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;CERDO;Italia;1
-1076901.0270608;4757664.54939025;20537;2.174100000000000;41.398370999999997;Pascual 1;Barcelona;P;Tarraconensis;1
-1080282.31246224;5017282.64795687;15035;1.433188000000000;43.599516000000001;Dressel 20;Toulouse;MAR;Narbonensis;1
-498816.986459172;5350972.71357136;7509;7.717205000000000;47.536817999999997;Dressel 20;Augst;CIALB;Germania Superior;1
-810232.995344663;5021967.80917584;15057;4.617757000000000;44.159897000000001;Dressel 1;Bagnols-sur-Cèze;EC;Narbonensis;1
-575458.086551936;4490908.56801042;25311;8.440000000000000;39.881943999999997;Operculum;Sardegna;CHRISMON;Corsica et Sardinia;1
-1050607.07509535;4768620.89854006;19280;2.444503000000000;41.542113000000001;Pascual 1;Mataró;V;Tarraconensis;1
355651.547686503;5262510.12218402;21222;19.083333000000000;47.500000000000000;Dressel 6;Budapest;MCA;Pannonia Inferior;1
233795.948793698;4508377.81717628;34790;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;APOLLONIDES;Italia;1
233795.948793698;4508377.81717628;37424;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;VISELLI;Italia;1
-213255.361586905;5069825.09673237;36746;11.883333000000000;45.416666999999997;Dressel 6B;Padova;CLAEKBAS;Italia;1
-838509.28860994;5697360.82226357;30476;2.300000000000000;49.899999999999999;Dressel 20;Amiens;QANTR;Belgica;1
-758879.15566038;5169350.34629686;24784;4.873453000000000;45.524785000000001;Amphora incerta;Vienne;EHE;Narbonensis;1
-213255.361586905;5069825.09673237;32844;11.883333000000000;45.416666999999997;Dressel 6B;Padova;LIVI;Italia;1
-382418.632762495;4938653.5025105;27221;9.983333000000000;44.066667000000002;Keay 16;Luni;QETAVR;Italia;1
-746791.260024395;5070566.32837079;8346;5.265397000000000;44.690916999999999;Dressel 1A;Roanne;ACA;Narbonensis;1
233795.948793698;4508377.81717628;37437;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;VISELLI;Italia;1
-1056457.37729975;4509704.15038045;19324;3.000000000000000;39.316667000000002;Dressel 1;Colònia de Sant Jordi;CL;Tarraconensis;1
-410621.150909084;5614880.89712105;19605;8.279095999999999;49.984188000000003;Gauloise;Mainz;ALBIN;Germania Superior;1
-759714.286352101;5170310.04524175;29582;4.860743000000000;45.531592000000003;Dressel 20;Saint-Romain-en-Gal;SPERATVS;Narbonensis;1
-249187.067030091;5175469.93625528;32069;11.266667000000000;46.316667000000002;Dressel 6A;Egna;AVRESIS;Raetia;1
233795.948793698;4508377.81717628;37305;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;EPIGENVS;Italia;1
233795.948793698;4508377.81717628;35262;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;LVCAO;Italia;1
