id;name;x;y;province
0;Worms;-413728.546969438320957;5577204.427524440921843;Germania Superior
1;Ampurias;-979826.64783797855489;4822915.543052153661847;Tarraconensis
2;Golfe de Fos;-801415.47304935590364;4930388.137078016065061;Narbonensis
3;Toulon;-726160.936322178691626;4887589.481297792866826;Narbonensis
4;Toulouse;-1080480.074655391508713;5016886.150200509466231;Narbonensis
5;Quercy;-1077077.99728195159696;5093214.958680596202612;Aquitania
6;Cahors;-1056292.12309477198869;5111673.892736345529556;Aquitania
7;Groß-Gerau;-397868.988903760444373;5604336.721911363303661;Germania Superior
8;Rodez;-969121.113079198868945;5079718.476940093562007;Aquitania
9;Vilafranca del Penedès;-1117976.958047766704112;4761040.912163288332522;Tarraconensis
10;Narbonne;-962745.785265185404569;4938920.474423976615071;Narbonensis
11;Vichy;-856497.416741728316993;5260700.14422741252929;Aquitania
12;Welzheim;-333526.716713479720056;5476868.788977329619229;Germania Superior
13;Köngen;-356207.531120656407438;5458367.012889293022454;Germania Superior
14;Unterkirchberg;-314326.922766403644346;5412727.560260134749115;Raetia
15;Bad Wimpfen;-361940.662267693434842;5520598.031763322651386;Germania Superior
16;Kastell Marienfels;-419781.280702223069966;5409600.678855055943131;Germania Superior
17;Ladenburg (Lopodunum);-396564.854150962783024;5554272.654192822054029;Germania Superior
18;Rottenburg;-390496.903585107880645;5439877.282765039242804;Germania Superior
19;Walheim;-366524.711645869421773;5497226.807561314664781;Germania Superior
20;Schwaigern;-372300.244980748859234;5512193.558521617203951;Germania Superior
21;Fellbach;-359954.266043477109633;5474333.492899253033102;Germania Superior
22;Grosssachsen;-392098.886025695479475;5559302.547185683622956;Germania Superior
23;Waldmössingen;-427823.539977463311516;5422294.923667370341718;Germania Superior
24;Walldürn;-340115.060507735819556;5558036.954582522623241;Germania Superior
25;Neckarrems;-358675.729167717741802;5479630.42746833525598;Germania Superior
26;Osterburken;-339111.549941280973144;5541938.869340506382287;Germania Superior
27;Ciudadela;-968204.441343596670777;4575292.043096907436848;Tarraconensis
28;Minorca;-954618.972127249464393;4568736.008626804687083;Tarraconensis
29;San Luis;-935457.461493956623599;4547756.244578026235104;Tarraconensis
30;Caballería, Cabo de;-944522.812642635544762;4577110.12995863892138;Tarraconensis
31;Illa del Aire;-933711.196414995705709;4541737.311404989100993;Tarraconensis
32;Mahón;-936495.770213728537783;4555415.859924357384443;Tarraconensis
33;Bregenz;-347710.083942960947752;5323287.797737651504576;Raetia
34;Eining;-176481.504923340980895;5452674.007752386853099;Raetia
35;Passau;-59208.045374993467703;5408782.888948554173112;Raetia
36;Regensburg;-149355.348095056135207;5466981.77200716920197;Raetia
37;Boscoreale;-48093.308210692834109;4534600.580900302156806;Italia
38;Archena;-1465504.540650408249348;4461105.754381775856018;Tarraconensis
39;Sagunto;-1330753.111788886599243;4615198.808736269362271;Tarraconensis
40;Cartago;-452266.787605583202094;4133617.898510297760367;Africa Proconsularis
41;Köln;-483306.430208318051882;5738115.239582306705415;Germania Inferior
42;Orlen;-413395.583957848488353;5637872.935583972372115;Germania Superior
43;Stuttgart;-368196.974964135908522;5470195.002525412477553;Germania Superior
44;Mainz;-413505.39758862357121;5614245.791366971097887;Germania Superior
45;Niederbieber;-384697.260128639754839;5643175.142391038127244;Germania Superior
46;Sulz am Neckar;-414727.561306710122153;5431218.064086553640664;Germania Superior
47;Adenau;-496712.996876691584475;5675913.430288651026785;Germania Inferior
48;Frankfurt am Main;-382096.645735288970172;5625238.822724206373096;Germania Superior
49;Rheinzabern;-426253.072994688060135;5518109.877784666605294;Germania Superior
50;Weissenburg in Bayern;-232429.561043858877383;5479477.456326636485755;Raetia
51;Trier;-531168.542208530008793;5611838.287800612859428;Belgica
52;Benningen;-303805.900611876160838;5368743.525906965136528;Raetia
53;Friedberg;-240015.30466928135138;5405102.433234798721969;Raetia
54;Oberstimm;-201709.408624936710112;5439539.0843272106722;Raetia
55;Echzell;-359184.91367051017005;5652426.945659322664142;Germania Superior
56;Neuss;-497206.039863934041932;5766907.318350538611412;Germania Inferior
57;Xanten;-504678.525245752534829;5825845.355864909477532;Germania Inferior
58;Kösching;-195051.548922272631899;5453158.333715136162937;Raetia
59;Hofheim;-407174.140735847642645;5577062.332465791143477;Germania Superior
60;Mülfort;-514660.579154154285789;5767783.847279109060764;Germania Inferior
61;Stockstadt am Main;-354755.539395680883899;5604578.835973114706576;Germania Superior
62;Nida-Heddernheim;-381185.065732068032958;5629835.172189416363835;Germania Superior
63;Hofheim am Taunus;-399259.619314354145899;5625469.598616510629654;Germania Superior
64;Moers;-496593.109926618169993;5798992.998927340842783;Germania Inferior
65;Wiesbaden;-410124.754347775131464;5625591.315806898288429;Germania Superior
66;Bad Ems;-443020.857526710373349;5661736.696169009432197;Germania Superior
67;Bad Cannstatt;-364382.64782357623335;5472696.563768811523914;Germania Superior
68;Straubing;-117389.049517463543452;5448582.973039153963327;Raetia
