id;name;x;y;code
0;Bordeaux;-1204986.12063423;5197169.18136286;PHILODAMVS
1;Barcelona;-1076901.0270608;4757664.54939025;O
2;Mont-Beuvray;-790246.352069834;5338595.2411637;SIN
3;Cumbernauld;-1040370.79673091;6486124.23329299;PQ
4;Padova;-213255.361586905;5069825.09673237;LAEK
5;Cirencester;-1076201.6810463;5985621.38794828;CPCAMO
6;Brindisi;240645.609957865;4502577.12341599;DAMA
7;Orléans;-924043.435940068;5484756.71466925;M
8;Saint-Romain-en-Gal;-759714.286352101;5170310.04524175;CSEMPRONIPOLYCLITI
2;Mont-Beuvray;-790246.352069834;5338595.2411637;GA
9;Magdalensberg;38374.9991573839;5183976.92109374;PTOLEM
10;Mandeure;-568880.665403057;5353577.55336691;EVRI
11;Golfe de Fos;-801415.473039121;4930388.13719504;MATVRI
12;San Pedro;-1425659.29010458;4414207.09190867;VICTORIA
13;Nida-Heddernheim;-381185.065723489;5629835.17231189;LIVNIMELISSI
14;Dieburg;-371731.327541462;5598432.18861759;ACIRGI
15;Cartagena;-1452124.75367952;4397135.65286717;ALLAE
16;Ampurias;-979826.647826815;4822915.54316754;VEHIL
17;Vienne;-758879.15566038;5169350.34629686;CSP
18;Ceilhes-et-Rocozels;-939666.01380661;5008264.03033893;ANT
19;Neuss;-497865.34063675;5769910.80224286;ENNIORVMIVLIORVM
6;Brindisi;240645.609957865;4502577.12341599;VEHILI
20;Mataró;-1050607.07509535;4768620.89854006;VERD
6;Brindisi;240645.609957865;4502577.12341599;VEHILIANA
21;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;P
22;Canale Giancola;233795.948793698;4508377.81717628;VISELLI
23;Hofheim;-407174.140727142;5577062.33258802;PONTICI
6;Brindisi;240645.609957865;4502577.12341599;APOLLONI
24;Edinburgh;-865236.498132087;5867415.45833038;ACIRGI
25;Bourges;-909689.839236849;5384894.42118109;SFE
6;Brindisi;240645.609957865;4502577.12341599;PILEMO
26;Fréjus;-655067.376539272;4908806.22959773;GERMIS
1;Barcelona;-1076901.0270608;4757664.54939025;AMANDI
27;Imperia;-540580.682565582;4941150.02857513;CPF
28;London;-955534.176698202;5921032.25118975;VRBANVSTIBERF
29;Alzey;-426921.052879931;5590620.22851237;CAEF
30;Sousse (Hadrumetum);-437654.120567166;4014532.55791397;ALEXANDER
31;Ancona;-105077.786027152;4858557.06838445;CASTRA
22;Canale Giancola;233795.948793698;4508377.81717628;LMARCISATVR
32;Choloy;-616145.283586946;5502280.27228604;LIVNIMELISSI
33;Albinia;-301448.562629968;4751597.12113327;ARS
34;Îles Lavezzi;-483582.993933958;4643721.57298741;VIC
2;Mont-Beuvray;-790246.352069834;5338595.2411637;HF
22;Canale Giancola;233795.948793698;4508377.81717628;SCOPAS
35;Badalona;-1069736.07970487;4761771.56669318;NIIN
6;Brindisi;240645.609957865;4502577.12341599;ANINIANA
36;Colchester;-876175.305477212;5941478.42952925;CANTONIQVIETI
20;Mataró;-1050607.07509535;4768620.89854006;AS
22;Canale Giancola;233795.948793698;4508377.81717628;APOLLONID
37;Salou;-1172430.90298931;4741846.49596517;MPEIAV
2;Mont-Beuvray;-790246.352069834;5338595.2411637;AI
22;Canale Giancola;233795.948793698;4508377.81717628;APOLLONID
2;Mont-Beuvray;-790246.352069834;5338595.2411637;M
38;Toulon;-725840.728890798;4885321.68429482;APM
39;Lyon?;-755826.511770254;5194589.90619483;PATVIC
22;Canale Giancola;233795.948793698;4508377.81717628;HERMAISCI
6;Brindisi;240645.609957865;4502577.12341599;GLAVCI
21;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;F
40;Rommerskirchen;-500928.527986177;5751822.42307916;QVIN
6;Brindisi;240645.609957865;4502577.12341599;COTHPIX
39;Lyon?;-755826.511770254;5194589.90619483;TATILIASIATICI
41;Fort Vechten;-580992.321497448;5887227.90650933;CCRASSISEMNI
22;Canale Giancola;233795.948793698;4508377.81717628;APOLLONID
22;Canale Giancola;233795.948793698;4508377.81717628;LVKAON
12;San Pedro;-1425659.29010458;4414207.09190867;ABAR
6;Brindisi;240645.609957865;4502577.12341599;PVEBAL
42;Arles;-819575.716550027;4968506.84339518;PNN
21;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;PR
43;Ostia Antica;-225025.730008559;4658894.83827206;QIA
22;Canale Giancola;233795.948793698;4508377.81717628;DEMETRI
44;Entrains-sur-Nohain;-815516.192157595;5406524.21652246;BARC
45;Marciana;-386494.665944352;4794036.37979014;CPC
6;Brindisi;240645.609957865;4502577.12341599;MENOPILVS
2;Mont-Beuvray;-790246.352069834;5338595.2411637;AC
11;Golfe de Fos;-801415.473039121;4930388.13719504;PSAVITI
46;Hvar;152598.492035836;4785318.05552004;CIA
47;Bolsena;-239336.495543669;4761534.85761756;VTHPVLROG
48;Hérault;-925548.690444053;4944223.99529104;TATILIASIATICI
49;Santarém;-2062794.59714777;4788198.18703392;MENA
4;Padova;-213255.361586905;5069825.09673237;LAEHLAEKB
1;Barcelona;-1076901.0270608;4757664.54939025;EPAPR
17;Vienne;-758879.15566038;5169350.34629686;LFO
13;Nida-Heddernheim;-381185.065723489;5629835.17231189;LQS
50;Mainz;-410621.150909084;5614880.89712105;CMM
33;Albinia;-301448.562629968;4751597.12113327;APEL
51;Narbonne;-963254.645016083;4941243.02255826;F
52;Roanne;-746791.260024395;5070566.32837079;AI
53;Altino;-171829.409941474;5079587.11299808;EPICA
54;Port-Vendres;-971780.259372865;4865280.20794199;CSEMPRONIPOLYCLITI
55;Corbridge;-959109.411125592;6336532.95218347;PMPM
56;Ljubljana (Emona);-1651.36161622172;5120675.00827321;CALCRISPINILLAE
16;Ampurias;-979826.647826815;4822915.54316754;ANTH
39;Lyon?;-755826.511770254;5194589.90619483;PSAVITI
6;Brindisi;240645.609957865;4502577.12341599;HPAIOC
57;Alexandria;1354610.4134671;3488290.83345828;ASVLEIANESE
58;Este;-233891.435165354;5051575.64682896;HADAVG
57;Alexandria;1354610.4134671;3488290.83345828;MARB
9;Magdalensberg;38374.9991573839;5183976.92109374;COMI
2;Mont-Beuvray;-790246.352069834;5338595.2411637;RE
57;Alexandria;1354610.4134671;3488290.83345828;MTVCCILFTROGALEONIS
59;Biesheim;-501857.132580865;5409126.80892363;CALPVRNC
60;Lamta;-417136.042473151;3994477.5170122;CIRCULUS
61;Augst;-498816.986459172;5350972.71357136;PMSC
62;Liberchies;-734486.63726866;5753105.98560175;LIVNIMELISSI
63;Mâlain;-722686.532656378;5370176.40866596;HERACLIDA
64;Puerto Real;-1958871.08339685;4405689.11014021;SOC
22;Canale Giancola;233795.948793698;4508377.81717628;APOLONIDA
65;Oderzo;-161636.089356029;5104955.34449377;AMETHYSTI
4;Padova;-213255.361586905;5069825.09673237;FEL
66;Modena;-302987.567560658;4977277.86928051;LICI
33;Albinia;-301448.562629968;4751597.12113327;ARS
6;Brindisi;240645.609957865;4502577.12341599;NMACCIVSLFQ
67;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;LMVE
35;Badalona;-1069736.07970487;4761771.56669318;R
20;Mataró;-1050607.07509535;4768620.89854006;SEC
28;London;-955534.176698202;5921032.25118975;PORLAR
64;Puerto Real;-1958871.08339685;4405689.11014021;LMEFAVSTI
2;Mont-Beuvray;-790246.352069834;5338595.2411637;GN
28;London;-955534.176698202;5921032.25118975;QANTRVG
68;Vicenza;-237571.667911811;5087669.12549354;FELIXSCR
69;Tournus;-732345.861150322;5284438.47331819;AM
51;Narbonne;-963254.645016083;4941243.02255826;IVLITHEOPHIL
1;Barcelona;-1076901.0270608;4757664.54939025;T
70;York;-936866.068451985;6208531.92561426;LIVNIMELISSI
22;Canale Giancola;233795.948793698;4508377.81717628;LUKAON
43;Ostia Antica;-225025.730008559;4658894.83827206;CAERARIA
71;Grand;-646762.55342218;5476506.59187768;CIALB
21;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;IV
50;Mainz;-410621.150909084;5614880.89712105;PMANISVP
55;Corbridge;-959109.411125592;6336532.95218347;OICSVPVRO
17;Vienne;-758879.15566038;5169350.34629686;SNR
72;Porto Torres;-563756.71491716;4597612.27365903;TFPI
39;Lyon?;-755826.511770254;5194589.90619483;CIALB
21;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;T
22;Canale Giancola;233795.948793698;4508377.81717628;POLEMON
51;Narbonne;-963254.645016083;4941243.02255826;SIMBOLUS
39;Lyon?;-755826.511770254;5194589.90619483;SCOROBRES
11;Golfe de Fos;-801415.473039121;4930388.13719504;LIT
73;Rheinhessen;-421553.915554691;5599578.84723776;MIM
22;Canale Giancola;233795.948793698;4508377.81717628;DEMETRI
43;Ostia Antica;-225025.730008559;4658894.83827206;GRA
42;Arles;-819575.716550027;4968506.84339518;EQFA
74;Sardegna;-575458.086551936;4490908.56801042;CPROMINVS
52;Roanne;-746791.260024395;5070566.32837079;BDD
2;Mont-Beuvray;-790246.352069834;5338595.2411637;E
13;Nida-Heddernheim;-381185.065723489;5629835.17231189;LFCRES
75;Nuits-Saint-Georges;-715804.369211464;5346795.26307407;NITIOCENVF
76;Lenzburg;-466782.450021658;5328072.18904031;OCEANI
77;Melilla;-1696673.70300643;4179986.53300796;M
78;Avenches;-562819.917346189;5287347.9059035;HERMESLVN
6;Brindisi;240645.609957865;4502577.12341599;ANTIOCOS
79;Abernethy;-985937.986230463;6512319.20159027;PARVA
4;Padova;-213255.361586905;5069825.09673237;TEBDPARHA
80;Ciudadela;-968204.441333387;4575292.04320975;AR
81;Chester;-1083293.76877323;6165894.85261533;CS
6;Brindisi;240645.609957865;4502577.12341599;EIKADIO
82;St. Albans;-955595.339807476;5959109.64154238;LANTSVRI
51;Narbonne;-963254.645016083;4941243.02255826;FVLPHIL
13;Nida-Heddernheim;-381185.065723489;5629835.17231189;SLAEON
83;Heuqueville;-1000427.59995658;5708276.4923371;VIRG
24;Edinburgh;-865236.498132087;5867415.45833038;QANTRVG
21;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;F
82;St. Albans;-955595.339807476;5959109.64154238;QCCI
50;Mainz;-410621.150909084;5614880.89712105;MIM
84;Niederbieber;-384697.260119998;5643175.14251355;PAPRV
85;Chesterford;-917531.352682112;5975391.62749441;CAMILIMELISSI
11;Golfe de Fos;-801415.473039121;4930388.13719504;A
51;Narbonne;-963254.645016083;4941243.02255826;QFF
81;Chester;-1083293.76877323;6165894.85261533;AAFAAE
21;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;MA
86;Saint-Paul-Trois-Chateaux;-794123.162273022;5040575.2178399;VERI
87;Sagunto;-1330753.11177619;4615198.80884794;GRAECO
88;Rade d'Agay;-644407.601679123;4907006.12023081;SA
57;Alexandria;1354610.4134671;3488290.83345828;VEHILI
89;Alicante;-1383717.62069951;4469340.82399089;SEXIRVF
90;Canterbury;-882929.136244843;5870413.34334731;HERMES
91;Colònia de Sant Jordi;-1056457.37729975;4509704.15038045;VERSO
4;Padova;-213255.361586905;5069825.09673237;PSEPVLLIPF
92;Tróia;-2012503.05042723;4870850.7794243;LEVGEN
93;Tortona;-457942.185853519;5043981.67891239;MENOMIINO
6;Brindisi;240645.609957865;4502577.12341599;ANTIOCOS
35;Badalona;-1069736.07970487;4761771.56669318;MPORCI
94;Groß-Gerau;-397282.299510888;5605440.03849431;LMINICIFIRMONI
28;London;-955534.176698202;5921032.25118975;QFLAVIFLAVIANI
50;Mainz;-410621.150909084;5614880.89712105;ALFO
16;Ampurias;-979826.647826815;4822915.54316754;VENVS
95;Rouen;-1002546.47610761;5697606.17061451;APNA
6;Brindisi;240645.609957865;4502577.12341599;VEHILI
11;Golfe de Fos;-801415.473039121;4930388.13719504;LSAR
43;Ostia Antica;-225025.730008559;4658894.83827206;IICCLLM
6;Brindisi;240645.609957865;4502577.12341599;POSIDONI
96;Sant Boi de Llobregat;-1089519.33047454;4753980.0419975;QVA
50;Mainz;-410621.150909084;5614880.89712105;PORPS
22;Canale Giancola;233795.948793698;4508377.81717628;DAZIO
35;Badalona;-1069736.07970487;4761771.56669318;COM
43;Ostia Antica;-225025.730008559;4658894.83827206;BSCDLEPMI
97;Erice;-239266.445257543;4243104.33619344;OTA
98;Strasbourg;-472968.972905322;5467893.56574991;ARVA
51;Narbonne;-963254.645016083;4941243.02255826;EVO
39;Lyon?;-755826.511770254;5194589.90619483;SCALENSIAPHI
99;Kastell Marienfels;-419781.280693783;5409600.67897651;LCFPC
11;Golfe de Fos;-801415.473039121;4930388.13719504;PVAFAV
100;Lodi Vecchio;-409379.772766663;5082160.90448678;CRISPINILI
101;Frankfurt am Main;-379275.935695407;5624503.54261325;LIT
102;Vercelli;-486147.275834107;5095747.11980986;CIB
1;Barcelona;-1076901.0270608;4757664.54939025;EPLPCP
103;Clermont-l'Hérault;-917987.17156083;4983115.16871679;PIVLICRISPI
6;Brindisi;240645.609957865;4502577.12341599;MENOPILVS
6;Brindisi;240645.609957865;4502577.12341599;PILEMO
4;Padova;-213255.361586905;5069825.09673237;L
104;Nijmegen;-539777.65547751;5851583.40331866;QMR
105;Vendeuil-Caply;-846336.475616607;5666434.30497958;CAP
57;Alexandria;1354610.4134671;3488290.83345828;APPVLEI
106;Villafáfila;-1715870.75798647;4989785.25754089;LD
87;Sagunto;-1330753.11177619;4615198.80884794;KAP
21;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;SIGNUM
104;Nijmegen;-539777.65547751;5851583.40331866;PANNIRVFI
107;El Puerto de Santa María;-1959749.02307047;4414806.37698049;SIICVVA
70;York;-936866.068451985;6208531.92561426;PMOCVFIGEDO
17;Vienne;-758879.15566038;5169350.34629686;LVIBICHROMIS
61;Augst;-498816.986459172;5350972.71357136;AVIH
108;Ehl;-490040.892308821;5444743.62155062;COSL
109;Milano;-422301.645701222;5102975.21842755;SIANDAE
20;Mataró;-1050607.07509535;4768620.89854006;LCORPR
110;Volubilis;-1981744.8567853;4107083.95851789;CENNIHISPANI
50;Mainz;-410621.150909084;5614880.89712105;CIVNREBVRI
111;Tavira;-2070817.24714282;4516468.85332904;LFO
112;Baie de la Ciotat;-748591.60850789;4895185.31162863;PILOT
113;Banasa;-2017700.18137408;4182958.28687812;ROMVLI
22;Canale Giancola;233795.948793698;4508377.81717628;ARCHELA
22;Canale Giancola;233795.948793698;4508377.81717628;LVKAON
114;Pianoro;-270299.10562466;4958256.89290432;MSERRANI
4;Padova;-213255.361586905;5069825.09673237;SEXIVLSEVER
88;Rade d'Agay;-644407.601679123;4907006.12023081;F
88;Rade d'Agay;-644407.601679123;4907006.12023081;QAE
104;Nijmegen;-539777.65547751;5851583.40331866;MFR
115;Elne;-980703.920837425;4876893.3217651;SFE
101;Frankfurt am Main;-379275.935695407;5624503.54261325;SNR
50;Mainz;-410621.150909084;5614880.89712105;LVALERITROPHIMI
116;Silchester;-1027506.4505164;5923648.71862759;TFA
22;Canale Giancola;233795.948793698;4508377.81717628;VISELLI
61;Augst;-498816.986459172;5350972.71357136;LV
117;Cartago;-452266.787599882;4133617.898619;LRSILV
11;Golfe de Fos;-801415.473039121;4930388.13719504;SISEN
117;Cartago;-452266.787599882;4133617.898619;LEVMACHI
33;Albinia;-301448.562629968;4751597.12113327;ARS
17;Vienne;-758879.15566038;5169350.34629686;IVLEGN
118;Fier;399416.40357443;4669492.43641662;IN
96;Sant Boi de Llobregat;-1089519.33047454;4753980.0419975;QVA
36;Colchester;-876175.305477212;5941478.42952925;SATVRNINI
65;Oderzo;-161636.089356029;5104955.34449377;ATEIO
119;Caerleon;-1146543.75279093;5995036.12651936;BELLVC
6;Brindisi;240645.609957865;4502577.12341599;ANINIANA
22;Canale Giancola;233795.948793698;4508377.81717628;LVCAO
54;Port-Vendres;-971780.259372865;4865280.20794199;CSEMPRONIPOLYCLITI
52;Roanne;-746791.260024395;5070566.32837079;O
120;Poitiers;-1080805.8615119;5370433.84179591;SAXOFERR
65;Oderzo;-161636.089356029;5104955.34449377;ATVS
121;Elche;-1408781.55045439;4465341.98698368;MEN
6;Brindisi;240645.609957865;4502577.12341599;APOLLONIMA
122;Shkodër;376983.626320475;4658340.3501106;ZARA
123;Quercy;-1077077.99726909;5093214.95879788;QFG
94;Groß-Gerau;-397282.299510888;5605440.03849431;ENNIORVMIVLIORVM
124;Nyon;-634199.864409378;5244193.075572;NYMPHI
11;Golfe de Fos;-801415.473039121;4930388.13719504;ENNIORVMIVLIORVM
