id;name;x;y;code
0;Cumbernauld;-1040370.79673091;6486124.23329299;PQ
1;Cirencester;-1076201.6810463;5985621.38794828;CPCAMO
2;Saint-Romain-en-Gal;-759714.286352101;5170310.04524175;CSEMPRONIPOLYCLITI
3;Mandeure;-568880.665403057;5353577.55336691;EVRI
4;Nida-Heddernheim;-381185.065723489;5629835.17231189;LIVNIMELISSI
5;Dieburg;-371731.327541462;5598432.18861759;ACIRGI
6;Vienne;-758879.15566038;5169350.34629686;CSP
7;Neuss;-497865.34063675;5769910.80224286;ENNIORVMIVLIORVM
8;Edinburgh;-865236.498132087;5867415.45833038;ACIRGI
9;Bourges;-909689.839236849;5384894.42118109;SFE
10;Fréjus;-655067.376539272;4908806.22959773;GERMIS
11;Alzey;-426921.052879931;5590620.22851237;CAEF
12;Choloy;-616145.283586946;5502280.27228604;LIVNIMELISSI
13;Colchester;-876175.305477212;5941478.42952925;CANTONIQVIETI
14;Lyon?;-755826.511770254;5194589.90619483;PATVIC
15;Rommerskirchen;-500928.527986177;5751822.42307916;QVIN
14;Lyon?;-755826.511770254;5194589.90619483;TATILIASIATICI
16;Fort Vechten;-580992.321497448;5887227.90650933;CCRASSISEMNI
17;Arles;-819575.716550027;4968506.84339518;PNN
18;Ostia Antica;-225025.730008559;4658894.83827206;QIA
19;Golfe de Fos;-801415.473039121;4930388.13719504;PSAVITI
20;Hérault;-925548.690444053;4944223.99529104;TATILIASIATICI
6;Vienne;-758879.15566038;5169350.34629686;LFO
4;Nida-Heddernheim;-381185.065723489;5629835.17231189;LQS
21;Mainz;-410621.150909084;5614880.89712105;CMM
22;Port-Vendres;-971780.259372865;4865280.20794199;CSEMPRONIPOLYCLITI
23;Corbridge;-959109.411125592;6336532.95218347;PMPM
14;Lyon?;-755826.511770254;5194589.90619483;PSAVITI
24;Alexandria;1354610.4134671;3488290.83345828;ASVLEIANESE
25;Biesheim;-501857.132580865;5409126.80892363;CALPVRNC
26;Augst;-498816.986459172;5350972.71357136;PMSC
27;Liberchies;-734486.63726866;5753105.98560175;LIVNIMELISSI
28;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;LMVE
29;London;-955534.176698202;5921032.25118975;PORLAR
29;London;-955534.176698202;5921032.25118975;QANTRVG
30;York;-936866.068451985;6208531.92561426;LIVNIMELISSI
18;Ostia Antica;-225025.730008559;4658894.83827206;CAERARIA
31;Grand;-646762.55342218;5476506.59187768;CIALB
21;Mainz;-410621.150909084;5614880.89712105;PMANISVP
23;Corbridge;-959109.411125592;6336532.95218347;OICSVPVRO
6;Vienne;-758879.15566038;5169350.34629686;SNR
14;Lyon?;-755826.511770254;5194589.90619483;CIALB
14;Lyon?;-755826.511770254;5194589.90619483;SCOROBRES
19;Golfe de Fos;-801415.473039121;4930388.13719504;LIT
32;Rheinhessen;-421553.915554691;5599578.84723776;MIM
18;Ostia Antica;-225025.730008559;4658894.83827206;GRA
17;Arles;-819575.716550027;4968506.84339518;EQFA
4;Nida-Heddernheim;-381185.065723489;5629835.17231189;LFCRES
33;Abernethy;-985937.986230463;6512319.20159027;PARVA
34;Chester;-1083293.76877323;6165894.85261533;CS
35;St. Albans;-955595.339807476;5959109.64154238;LANTSVRI
4;Nida-Heddernheim;-381185.065723489;5629835.17231189;SLAEON
36;Heuqueville;-1000427.59995658;5708276.4923371;VIRG
8;Edinburgh;-865236.498132087;5867415.45833038;QANTRVG
35;St. Albans;-955595.339807476;5959109.64154238;QCCI
21;Mainz;-410621.150909084;5614880.89712105;MIM
37;Niederbieber;-384697.260119998;5643175.14251355;PAPRV
38;Chesterford;-917531.352682112;5975391.62749441;CAMILIMELISSI
19;Golfe de Fos;-801415.473039121;4930388.13719504;A
39;Narbonne;-963254.645016083;4941243.02255826;QFF
34;Chester;-1083293.76877323;6165894.85261533;AAFAAE
40;Alicante;-1383717.62069951;4469340.82399089;SEXIRVF
41;Groß-Gerau;-397282.299510888;5605440.03849431;LMINICIFIRMONI
29;London;-955534.176698202;5921032.25118975;QFLAVIFLAVIANI
21;Mainz;-410621.150909084;5614880.89712105;ALFO
42;Rouen;-1002546.47610761;5697606.17061451;APNA
