id;name;x;y;province
0;London;-955534.176698202;5921032.25118975;Britannia
1;Isola di Giannutri;-317058.028747677;4725246.08883145;Italia
2;Lyon?;-755826.511770254;5194589.90619483;Lugdunensis
3;Brindisi;240645.609957865;4502577.12341599;Italia
4;Rebecques;-816695.662067158;5779207.96925722;Belgica
5;Île de Porquerolles;-706238.442912149;4867845.60383004;Narbonensis
6;San Pedro;-1425659.29010458;4414207.09190867;Tarraconensis
7;Narbonne;-963254.645016083;4941243.02255826;Narbonensis
8;Bregenz;-345522.867144488;5322218.32288708;Raetia
9;Kempten;-300643.27273879;5342086.36235854;Raetia
10;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;Tarraconensis
11;Canale Giancola;233795.948793698;4508377.81717628;Italia
12;Volubilis;-1981744.8567853;4107083.95851789;Mauretania Tingitana
13;Bad Wimpfen;-361335.878109782;5520861.34718471;Germania Superior
14;Isla de Cabrera;-1064829.23760549;4491345.3112758;Tarraconensis
15;Edinburgh;-865236.498132087;5867415.45833038;Britannia
16;Monrealer Wald;-485508.314167858;5662757.01216428;Germania Superior
17;Mainz;-410621.150909084;5614880.89712105;Germania Superior
18;Cartago;-452266.787599882;4133617.898619;Africa Proconsularis
19;Alise-Sainte-Reine;-741107.494160932;5398662.61806195;Lugdunensis
20;Chicester;-1025696.772362;5861141.41927802;Britannia
21;Vienne;-758879.15566038;5169350.34629686;Narbonensis
22;Beziers;-941931.524635747;4955300.3005907;Narbonensis
23;Fréjus;-655067.376539272;4908806.22959773;Narbonensis
24;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;Germania Superior
25;Barcelona;-1076901.0270608;4757664.54939025;Tarraconensis
26;Augst;-498816.986459172;5350972.71357136;Germania Superior
27;Köln;-485175.276326217;5737049.38507196;Germania Inferior
28;Port-Vendres;-971780.259372865;4865280.20794199;Narbonensis
29;Capalbio;-288371.874814686;4744460.90411078;Italia
30;Toulouse;-1080282.31246224;5017282.64795687;Narbonensis
31;Bagnols-sur-Cèze;-810232.995344663;5021967.80917584;Narbonensis
32;Sardegna;-575458.086551936;4490908.56801042;Corsica et Sardinia
33;Mataró;-1050607.07509535;4768620.89854006;Tarraconensis
34;Budapest;355651.547686503;5262510.12218402;Pannonia Inferior
35;Padova;-213255.361586905;5069825.09673237;Italia
36;Amiens;-838509.28860994;5697360.82226357;Belgica
37;Luni;-382418.632762495;4938653.5025105;Italia
38;Roanne;-746791.260024395;5070566.32837079;Narbonensis
39;Colònia de Sant Jordi;-1056457.37729975;4509704.15038045;Tarraconensis
40;Saint-Romain-en-Gal;-759714.286352101;5170310.04524175;Narbonensis
41;Egna;-249187.067030091;5175469.93625528;Raetia
42;Sallèles;-966491.801529943;4950736.93238566;Narbonensis
43;Ostia Antica;-225025.730008559;4658894.83827206;Italia
44;Rade d'Agay;-644407.601679123;4907006.12023081;Narbonensis
45;Mahón;-935653.239258351;4551508.82449145;Tarraconensis
46;Santa Pola;-1397612.5973699;4453973.59713314;Tarraconensis
47;Pompeya;-50303.1971126798;4531481.16830034;Italia
48;Antioch;1867252.48177217;4115154.34763007;Syria
49;Golfe de Fos;-801415.473039121;4930388.13719504;Narbonensis
50;Nuits-Saint-Georges;-715804.369211464;5346795.26307407;Lugdunensis
