id;name;x;y;province;type
0;London;-955534.176698202;5921032.25118975;Britannia;other
1;Edinburgh;-865236.498132087;5867415.45833038;Britannia;other
2;Chicester;-1025696.772362;5861141.41927802;Britannia;other
3;York;-936866.068451985;6208531.92561426;Britannia;other
4;Bardon Mill;-978749.816941154;6343418.25156511;Britannia;Hadrian Wall
5;Falkirk;-1025329.69888547;6486477.8300989;Caledonia;Antonine Wall
6;Walton le Dale;-1046764.55943348;6217801.38446881;Britannia;other
7;Abernethy;-985937.986230463;6512319.20159027;Caledonia;Antonine Wall
8;Lanark;-1040632.55535968;6449417.56979681;Caledonia;Antonine Wall
9;Carlisle;-1019166.01774611;6347771.26986266;Britannia;Hadrian Wall
10;Wroxeter;-1086155.86087837;6102062.58848629;Britannia;other
11;St. Albans;-955595.339807476;5959109.64154238;Britannia;other
12;Caerleon;-1146543.75279093;5995036.12651936;Britannia;other
13;Bishopbriggs;-1057437.86137986;6486603.90365619;Caledonia;Antonine Wall
14;Housesteads;-976846.213437393;6348805.48164578;Britannia;Hadrian Wall
15;Eye;-845746.474575521;5984035.5931986;Britannia;other
16;Southwark;-955335.120889118;5919273.73475023;Britannia;other
17;Chester;-1083293.76877323;6165894.85261533;Britannia;other
18;Sea Mills;-1130507.59281524;5973691.4532889;Britannia;other
19;Old Kilpatrick;-1069729.52656975;6493477.9618953;Caledonia;Antonine Wall
20;Lincoln;-926993.142952562;6117472.83278893;Britannia;other
21;Southend;-1166862.44797334;6458330.38200072;Caledonia;Antonine Wall
22;Cirencester;-1076201.6810463;5985621.38794828;Britannia;other
23;Sandy;-948362.466508639;5990709.86665984;Britannia;other
24;Musselburgh;-984974.702031385;6463151.13379174;Caledonia;Antonine Wall
25;Caersws;-1143533.7461897;6104126.71403034;Britannia;other
26;Winchester;-1056206.19754392;5892734.20401508;Britannia;other
27;Corbridge;-959109.411125592;6336532.95218347;Britannia;Hadrian Wall
28;Edinburgh;-993335.657009426;6468286.27266607;Caledonia;Antonine Wall
29;Leicester;-987269.022203111;6064838.38817018;Britannia;other
30;Dalswinton;-1053825.80265992;6393156.00011605;Caledonia;Hadrian Wall
31;Ilchester;-1150134.75997591;5922586.44830289;Britannia;other
32;Witham;-897411.487361272;5935779.11780248;Britannia;other
33;Chedworth;-1069291.35015805;5991375.1162584;Britannia;other
34;Colchester;-876175.305477212;5941478.42952925;Britannia;other
35;Silchester;-1027506.4505164;5923648.71862759;Britannia;other
36;Staines;-987115.65578713;5921009.41194968;Britannia;other
37;Ribchester;-1035695.10426702;6221994.55355308;Britannia;other
38;Loughor;-1219225.95849582;6027004.36027018;Britannia;other
39;Canterbury;-882929.136244843;5870413.34334731;Britannia;other
40;Chesters;-965493.442812641;6344810.31896742;Britannia;Hadrian Wall
41;Ardoch house;-1021039.95093317;6515488.31588027;Caledonia;Antonine Wall
42;South Shields;-921366.793713559;6326136.95249025;Britannia;Hadrian Wall
43;Gloucester;-1090534.60998064;6002523.13726591;Britannia;other
44;Watercrook;-1029688.03104876;6282621.22662161;Britannia;Hadrian Wall
45;Hengistbury Head;-1096640.02516094;5869277.78268762;Britannia;other
46;Holt;-1086237.24055323;6150713.66929368;Britannia;other
47;Warrington;-1055790.16507326;6178472.98020371;Britannia;other
48;Heptonstall;-1004487.39182511;6205107.73228169;Britannia;other
49;Westmill;-935939.492316312;5963071.40251021;Britannia;other
50;Doncaster;-954400.225932827;6162237.29450176;Britannia;other
51;Newstead;-977451.949243476;6113705.91935717;Britannia;other
52;Bearsden;-1063737.17227391;6491121.01523214;Caledonia;Antonine Wall
53;Caerwent;-1133676.47494271;5990168.43000047;Britannia;other
54;Caernarfon;-1172762.88304592;6192560.61999399;Britannia;other
55;Harpham;-886593.022865327;6200321.60324008;Britannia;other
56;Exeter;-1220579.71815816;5909605.90316364;Britannia;other
57;Liverpool;-1080344.47533016;6191222.0230461;Britannia;other
58;Sleaford;-926819.171047682;6087532.3099268;Britannia;other
59;Newcastle upon Tyne;-933657.639816768;6330344.85937732;Britannia;Hadrian Wall
60;Great Chesters;-984310.798019388;6347408.21656899;Britannia;Hadrian Wall
61;Aldborough;-951822.032502968;6227503.90010229;Britannia;other
62;Birrens;-1030500.64864933;6374268.34324808;Caledonia;Hadrian Wall
63;Holybourne;-1024682.74467896;5900767.64801538;Britannia;other
64;Crail;-946881.722867582;6489740.2118907;Caledonia;Antonine Wall
65;Caerhûn;-1142035.38801882;6189248.68389295;Britannia;other
66;Croy;-1043368.48415957;6487283.0150624;Caledonia;Antonine Wall
67;Newport;-915620.284445499;6175673.74878368;Britannia;other
68;Exning;-900935.128983851;5994217.26706244;Britannia;other
69;Godmanchester;-933852.412439242;6010121.22050005;Britannia;other
70;Brecon;-1162214.80140948;6041608.39592183;Britannia;other
71;Piercebridge;-954394.002601162;6282581.96864157;Britannia;Hadrian Wall
72;Chesterfield;-983962.241745958;6137892.36808725;Britannia;other
73;Fishbourne;-1026850.05284645;5861498.96172383;Britannia;other
74;Tutbury;-1015803.00893567;6100275.84186947;Britannia;other
75;Shropshire, County of;-1092739.56495175;6104360.90503786;Britannia;other
76;Ilkley;-985532.625258623;6218770.89360818;Britannia;other
77;Toft Newton;-915904.107475054;6129914.66841145;Britannia;other
78;Branston;-924356.139053679;6110662.24970898;Britannia;other
79;Rudston;-883811.910580558;6205414.79152561;Britannia;other
80;Bar Hill;-1044916.54602186;6488872.32182155;Caledonia;Antonine Wall
81;Lancaster;-1044595.74302811;6257550.65135723;Britannia;other
82;Dover;-876201.319132549;5854726.91307442;Britannia;other
83;Daventry;-1002941.97480988;6023857.50878853;Britannia;other
84;Middlewich;-1052533.52007665;6153070.31036954;Britannia;other
85;Derby;-997815.632356423;6132453.39907655;Britannia;other
86;Eynsford;-939739.406611343;5896747.19466934;Britannia;other
87;East Ayrshire;-1075089.55351063;6444260.33197283;Caledonia;Antonine Wall
88;Catterick;-957364.526935507;6263494.05354278;Britannia;Hadrian Wall
89;Dorset;-1135822.58484486;5886561.69152377;Britannia;other
90;Gravesend;-926784.656896033;5902828.07833626;Britannia;other
91;Mildenhall;-1068362.29185894;5944816.34949233;Britannia;other
92;Ambleside;-1039446.1785282;6298296.57100686;Britannia;Hadrian Wall
93;Abergavenny;-1142097.50148345;6020265.92137622;Britannia;other
94;Bo'ness;-1015661.64444725;6484833.61278197;Caledonia;Antonine Wall
95;Northwich;-1053726.5359685;6163592.41776689;Britannia;other
96;Puriton;-1164126.18188047;5946981.72092264;Britannia;other
97;Penrith;-1015782.25942203;6318163.80116386;Britannia;Hadrian Wall
98;Chesterford;-917531.352682112;5975391.62749441;Britannia;other
99;Neath;-1201792.80841085;6019896.7751516;Britannia;other
100;Stanwix;-1018514.97834214;6349564.10679358;Britannia;Hadrian Wall
101;Fingringhoe;-875490.558924015;5935360.10317915;Britannia;other
102;Fishtoft;-899454.913005337;6075088.6643509;Britannia;other
103;Dorchester;-1143952.61632069;5885245.22718696;Britannia;other
104;Rochester;-918126.960805824;5894350.6360174;Britannia;other
105;Topsham;-1215464.82997337;5905765.82493351;Britannia;other
106;Usk;-1139480.66991127;6003427.66877131;Britannia;other
107;Winterton;-916940.830738789;6164127.67792221;Britannia;other
108;Southampton;-1066016.28834151;5881839.25979855;Britannia;other
109;Kirkton;-1052099.29952862;6388424.84303726;Caledonia;Hadrian Wall
110;Prestatyn;-1110482.5490777;6191932.92020591;Britannia;other
111;Cambridgeshire;-916591.738593881;6006851.21039295;Britannia;other
112;Broughton;-1089984.83941823;6164217.41865263;Britannia;other
113;Bishopton;-1073427.19551087;6492882.24764783;Caledonia;Antonine Wall
114;Uplyme;-1180193.68720235;5899587.04755141;Britannia;other
115;Cumbernauld;-1040370.79673091;6486124.23329299;Caledonia;Antonine Wall
116;Llantwit Major;-1189953.87004815;5984983.73840063;Britannia;other
117;Castor;-936552.062040225;6040791.90865701;Britannia;other
118;Beckfoot;-1060641.65275008;6301951.66741167;Britannia;Hadrian Wall
119;Kelvedon;-890171.35809129;5939601.65731732;Britannia;other
120;Castlecary;-1036998.42331303;6488915.3509313;Caledonia;Antonine Wall
121;Bishop Auckland;-949054.410666976;6294833.49738688;Britannia;Hadrian Wall
122;Great Dunmow;-912255.597541451;5952017.83568669;Britannia;other
123;Norton Disney;-940814.519643092;6107895.22670759;Britannia;other
124;Peterborough;-930458.644334798;6040895.54269053;Britannia;other
125;Ospringe;-896771.172897821;5878295.87148829;Britannia;other
126;Salisbury;-1086527.08577183;5908547.22495746;Britannia;other
127;Manchester;-1026648.16474628;6182481.93517124;Britannia;other
128;Bury Saint Edmunds;-876898.900900726;5985143.55768478;Britannia;other
129;Tayside;-994435.113986876;6525722.48411293;Caledonia;Antonine Wall
130;Ravenglass;-1069289.47352345;6301060.81164344;Britannia;Hadrian Wall
131;Maryport;-1061609.05477613;6341000.5800728;Britannia;Hadrian Wall
132;Durhamshire;-953659.242255125;6298416.15049493;Britannia;Hadrian Wall
133;Grantham;-945009.504551965;6083291.00448143;Britannia;other
134;Motherwell;-1048246.6160595;6468696.71570134;Caledonia;Antonine Wall
135;Dalkeith;-988621.904649597;6456373.66953387;Caledonia;Antonine Wall
136;Cockermouth;-1053597.50328897;6333957.37945269;Britannia;Hadrian Wall
137;Glossop;-1009274.43658793;6166462.76797821;Britannia;other
138;Great Wakering;-894000.649922017;5905146.24444468;Britannia;other
139;Corfe Mullen;-1113882.99810809;5883315.14279004;Britannia;other
140;Gilsland;-992568.326713143;6350349.14736331;Britannia;Hadrian Wall
141;March;-909430.80200194;6030483.28676911;Britannia;other
142;Stoke Prior;-1107046.1264897;6052641.29598009;Britannia;other
143;Caerphilly;-1165104.63042796;5997885.22449668;Britannia;other
144;Sturry;-880123.222481412;5871592.04715196;Britannia;other
145;Brockworth;-1084314.70672774;6002442.83729146;Britannia;other
146;Chelmsford;-909188.953593619;5933292.30721563;Britannia;other
147;Newport;-1149330.91211402;5992355.757736;Britannia;other
148;Wakefield;-962898.377521765;6187070.78178539;Britannia;other
149;Sedlescombe;-931835.020839365;5842937.63681641;Britannia;other
150;Denver;-888395.956253208;6028114.35288591;Britannia;other
151;Hexham;-964279.788139131;6338335.32301284;Britannia;Hadrian Wall
152;West Woodburn;-960852.201589196;6361338.15971368;Britannia;Hadrian Wall
153;Paisley;-1072231.96157718;6484192.23830831;Caledonia;Antonine Wall
154;Rocester;-1022012.89618937;6114417.94245917;Britannia;other
155;Credenhill;-1117484.41715675;6044115.93178256;Britannia;other
156;Malton;-912895.472280218;6220706.6040473;Britannia;other
157;Scole;-843068.56914371;5989183.31090942;Britannia;other
158;Selby;-942310.786273636;6188303.40569574;Britannia;other
159;Brampton;-1004176.78848694;6350462.72518693;Britannia;Hadrian Wall
160;Worcester;-1073712.11890444;6041214.08692206;Britannia;other
161;Gelligaer;-1164662.10750241;6007622.68897602;Britannia;other
162;Strood;-919267.933298653;5894683.84630455;Britannia;other
163;Mendip Hills;-1138702.32700154;5950424.38554446;Britannia;other
