id;name;x;y;province
0;London;-955534.176698202;5921032.25118975;Britannia
1;Lyon?;-755826.511770254;5194589.90619483;Lugdunensis
2;Rebecques;-816695.662067158;5779207.96925722;Belgica
3;Bregenz;-345522.867144488;5322218.32288708;Raetia
4;Kempten;-300643.27273879;5342086.36235854;Raetia
5;Volubilis;-1981744.8567853;4107083.95851789;Mauretania Tingitana
6;Bad Wimpfen;-361335.878109782;5520861.34718471;Germania Superior
7;Isla de Cabrera;-1064829.23760549;4491345.3112758;Tarraconensis
8;Edinburgh;-865236.498132087;5867415.45833038;Britannia
9;Mainz;-410621.150909084;5614880.89712105;Germania Superior
10;Chicester;-1025696.772362;5861141.41927802;Britannia
11;Beziers;-941931.524635747;4955300.3005907;Narbonensis
12;Fréjus;-655067.376539272;4908806.22959773;Narbonensis
13;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;Germania Superior
14;Augst;-498816.986459172;5350972.71357136;Germania Superior
15;Köln;-485175.276326217;5737049.38507196;Germania Inferior
16;Port-Vendres;-971780.259372865;4865280.20794199;Narbonensis
17;Toulouse;-1080282.31246224;5017282.64795687;Narbonensis
18;Amiens;-838509.28860994;5697360.82226357;Belgica
19;Saint-Romain-en-Gal;-759714.286352101;5170310.04524175;Narbonensis
20;Sallèles;-966491.801529943;4950736.93238566;Narbonensis
21;Ostia Antica;-225025.730008559;4658894.83827206;Italia
22;Antioch;1867252.48177217;4115154.34763007;Syria
23;York;-936866.068451985;6208531.92561426;Britannia
24;Bardon Mill;-978749.816941154;6343418.25156511;Britannia
25;Split;132693.76564072;4827923.63000075;Dalmatia
26;Almásfüzitó;294945.265201933;5289638.04980118;Pannonia Inferior
27;Caudebec-lès-Elbeuf;-948082.257820173;5653686.91376687;Lugdunensis
28;Avenches;-562819.917346189;5287347.9059035;Germania Superior
29;Stockstadt am Main;-354755.539387405;5604578.83609556;Germania Superior
30;Frankfurt am Main;-379275.935695407;5624503.54261325;Germania Superior
31;Falkirk;-1025329.69888547;6486477.8300989;Caledonia
32;Golfe de Fos;-801415.473039121;4930388.13719504;Narbonensis
33;Velzeke-Ruddershove;-708643.229311126;5779979.56871276;Belgica
34;Alexandria;1354610.4134671;3488290.83345828;Aegyptus
35;Walton le Dale;-1046764.55943348;6217801.38446881;Britannia
36;Nuits-Saint-Georges;-715804.369211464;5346795.26307407;Lugdunensis
37;Rheinhessen;-421553.915554691;5599578.84723776;Germania Superior
38;Roujan;-930867.075883968;4971478.32600594;Narbonensis
39;Mainz-Kastel;-409856.374447268;5617683.65509329;Germania Superior
40;Abernethy;-985937.986230463;6512319.20159027;Caledonia
41;Bad Kreuznach;-442836.232197637;5604248.94031563;Germania Superior
42;Saint-Romain-de-Jalionas;-727018.271474666;5189667.212828;Narbonensis
43;Orange;-795487.858362067;5016570.86350169;Narbonensis
44;Nîmes;-838407.36197678;4989987.83476454;Narbonensis
45;Ampurias;-979826.647826815;4822915.54316754;Tarraconensis
46;Genève;-645305.35403197;5224104.61887438;Narbonensis
47;Isère;-691685.887607956;5114642.70749281;Narbonensis
48;Lanark;-1040632.55535968;6449417.56979681;Caledonia
49;Carlisle;-1019166.01774611;6347771.26986266;Britannia
50;Bad Cannstatt;-362525.889967835;5472909.37141251;Germania Superior
51;Groß-Gerau;-397282.299510888;5605440.03849431;Germania Superior
52;Alicante;-1383717.62069951;4469340.82399089;Tarraconensis
53;Wroxeter;-1086155.86087837;6102062.58848629;Britannia
54;Niederbieber;-384697.260119998;5643175.14251355;Germania Superior
55;St. Albans;-955595.339807476;5959109.64154238;Britannia
56;Wasserbillig;-543461.472829624;5608101.07423055;Belgica
57;Caerleon;-1146543.75279093;5995036.12651936;Britannia
58;Vienne;-758879.15566038;5169350.34629686;Narbonensis
59;Agde;-922220.482272064;4946998.48359386;Narbonensis
60;Arles;-819575.716550027;4968506.84339518;Narbonensis
61;Wiesbaden;-410857.230934183;5626138.01525477;Germania Superior
62;Bourdeaux;-960662.376199971;5585740.33488914;Lugdunensis
63;Bishopbriggs;-1057437.86137986;6486603.90365619;Caledonia
64;Strasbourg;-472968.972905322;5467893.56574991;Germania Superior
65;Mandeure;-568880.665403057;5353577.55336691;Germania Superior
66;Lisieux;-1009461.32027461;5655159.13023059;Lugdunensis
67;Choloy;-616145.283586946;5502280.27228604;Belgica
68;Nijmegen;-539777.65547751;5851583.40331866;Germania Inferior
69;Budapest;352026.792976894;5268160.78540421;Pannonia Inferior
70;Housesteads;-976846.213437393;6348805.48164578;Britannia
71;Regensburg;-148741.126898927;5469399.21845282;Raetia
72;Eye;-845746.474575521;5984035.5931986;Britannia
73;Narbonne;-963254.645016083;4941243.02255826;Narbonensis
74;Southwark;-955335.120889118;5919273.73475023;Britannia
75;Bavay;-721676.510052066;5714842.30009884;Belgica
76;Steene;-803604.578814709;5811779.864853;Belgica
77;Dieulouard;-593843.86519669;5518288.20836012;Belgica
78;Chester;-1083293.76877323;6165894.85261533;Britannia
79;Saint-Marcel;-990361.536447914;5348613.50325219;Aquitania
80;Lazio;-145067.616708488;4645584.93006974;Italia
81;Saint-Etienne-Roilaye;-802284.962861084;5624159.66030804;Belgica
82;Biesheim;-501857.132580865;5409126.80892363;Germania Superior
83;Saint Paulien;-850966.508531957;5143918.20501282;Aquitania
84;Voorburg;-634554.882696414;5900064.06256503;Germania Inferior
85;Walheim;-58689.7407150895;5688277.6187802;
86;Château Rousillon;-980032.018657195;4889603.53053768;Narbonensis
87;Sea Mills;-1130507.59281524;5973691.4532889;Britannia
88;Old Kilpatrick;-1069729.52656975;6493477.9618953;Caledonia
89;Lincoln;-926993.142952562;6117472.83278893;Britannia
90;Salé (Sala);-2101407.232689;4138956.41491875;Mauretania Tingitana
91;Valencia;-1370641.54429225;4603331.77012747;Tarraconensis
92;Clermont-l'Hérault;-917987.17156083;4983115.16871679;Narbonensis
93;Southend;-1166862.44797334;6458330.38200072;Caledonia
94;Arras;-793480.884151889;5731757.25666986;Belgica
95;Poitiers;-1080805.8615119;5370433.84179591;Aquitania
96;Worms;-411571.708575673;5574996.93876985;Germania Superior
97;Cirencester;-1076201.6810463;5985621.38794828;Britannia
98;Alise-Sainte-Reine;-741107.494160932;5398662.61806195;Lugdunensis
99;Grand;-646762.55342218;5476506.59187768;Germania Superior
100;Orlen;-413395.583948947;5637872.9357064;Germania Superior
101;Sandy;-948362.466508639;5990709.86665984;Britannia
102;Rouen;-939056.180158775;5669239.91002062;Lugdunensis
103;Rodez;-968842.709288324;5079081.53167762;Aquitania
104;Altenstadt;-357617.422937202;5640440.46108209;Germania Superior
105;Kastell Marienfels;-419781.280693783;5409600.67897651;Germania Superior
106;Hofheim;-407174.140727142;5577062.33258802;Germania Superior
107;Besançon;-621341.614321987;5340696.87928332;Germania Superior
108;Musselburgh;-984974.702031385;6463151.13379174;Caledonia
109;Annecy;-653092.195004184;5192323.61841003;Narbonensis
110;Vertault;-741930.686404839;5442708.63439037;Germania Superior
111;Angers;-1119515.66854045;5487450.16409711;Lugdunensis
112;Caersws;-1143533.7461897;6104126.71403034;Britannia
113;Servian;-933606.232668669;4963017.96233261;Narbonensis
114;Winchester;-1056206.19754392;5892734.20401508;Britannia
115;Hedelbergen;-364381.091630155;5635819.07704197;Germania Superior
116;Villajoyosa;-1359983.54611425;4482405.98865067;Tarraconensis
117;Puerto de Mazarrón;-1476887.21110004;4398670.71151903;Tarraconensis
118;Corbridge;-959109.411125592;6336532.95218347;Britannia
119;La Buisse;-704557.7932343;5136571.53163594;Narbonensis
120;Edinburgh;-993335.657009426;6468286.27266607;Caledonia
121;Leicester;-987269.022203111;6064838.38817018;Britannia
122;Dalswinton;-1053825.80265992;6393156.00011605;Caledonia
123;Ilchester;-1150134.75997591;5922586.44830289;Britannia
124;Aoste;-700076.592775839;5164660.88757553;Narbonensis
125;Bonn;-479238.601452449;5713104.2009449;Germania Inferior
126;Neuss;-497865.34063675;5769910.80224286;Germania Inferior
127;Fort Vechten;-580992.321497448;5887227.90650933;Germania Inferior
128;Cambrai;-764616.036910248;5711154.06566024;Belgica
129;Civitavecchia;-261053.271719425;4702030.18803505;Italia
130;Tróia;-2012503.05042723;4870850.7794243;Lusitania
131;Ardèche (Alba);-805456.529881032;5033151.03778156;Narbonensis
132;Sidi Ali ben ahmed (Thamusida);-2062732.64243637;4162773.42140969;Mauretania Tingitana
133;Banasa;-2017700.18137408;4182958.28687812;Mauretania Tingitana
134;Niederbieber;-291773.007007314;5663211.04902506;
135;Koenigshoffen;-479594.550916086;5466862.82371012;Germania Superior
136;Windisch;-462125.147268262;5337858.92669794;Germania Superior
137;Witham;-897411.487361272;5935779.11780248;Britannia
138;Fürstenberg;-502461.659455921;5822701.43881944;Germania Inferior
139;Chedworth;-1069291.35015805;5991375.1162584;Britannia
140;Gaujac;-815217.147641653;5013869.99732797;Narbonensis
141;Colchester;-876175.305477212;5941478.42952925;Britannia
142;Santa Pola;-1397612.5973699;4453973.59713314;Tarraconensis
143;Boulogne;-1199685.63217685;5429601.32412584;Aquitania
144;Silchester;-1027506.4505164;5923648.71862759;Britannia
145;Bad Ems;-443697.638044015;5660520.34522908;Germania Superior
146;Le Caylar;-921409.297016111;5011126.4729609;Narbonensis
147;Staines;-987115.65578713;5921009.41194968;Britannia
148;Soissons;-779365.797038991;5621794.97908953;Belgica
149;Astaffort;-1130187.39822003;5084756.02722944;Aquitania
150;Ribchester;-1035695.10426702;6221994.55355308;Britannia
151;Puisserguier;-956145.94097833;4961058.70264265;Narbonensis
152;Risstissen;-328541.551449891;5407080.92559416;Raetia
153;Nissan-Lez-Ensérune;-951041.143977837;4950815.2377836;Narbonensis
154;Sainte-Colombe;-759822.990671813;5169539.62430012;Narbonensis
155;Loughor;-1219225.95849582;6027004.36027018;Britannia
156;Wijk bij Duurstede;-572227.171550985;5875076.47099747;Germania Inferior
157;Nida-Heddernheim;-381185.065723489;5629835.17231189;Germania Superior
158;Lacroix-Saint-Ouen;-818815.111242617;5628689.2344356;Belgica
159;Canterbury;-882929.136244843;5870413.34334731;Britannia
160;Lattes;-881313.728297011;4968074.68669123;Narbonensis
161;Mont-Beuvray;-790246.352069834;5338595.2411637;Lugdunensis
162;Auerberg;-269377.745370387;5337935.27388281;Raetia
163;Vichy;-856720.158239029;5260670.85320297;Aquitania
164;Tours;-1028333.68964916;5452373.85775663;Lugdunensis
165;Großkrotzenburg;-358764.431168034;5617323.66904789;Germania Superior
166;Murviel-lès-Montpellier;-893814.920311246;4975245.66650297;Narbonensis
167;Alphen aan den Rijn;-614793.408074651;5903117.18665806;Germania Inferior
168;Mâcon;-744172.146004683;5257593.09609404;Lugdunensis
169;Chesters;-965493.442812641;6344810.31896742;Britannia
170;Rouen;-1002546.47610761;5697606.17061451;Lugdunensis
171;Ardoch house;-1021039.95093317;6515488.31588027;Caledonia
172;South Shields;-921366.793713559;6326136.95249025;Britannia
173;Les Rues des Vignes;-766488.604953893;5702105.76014902;Belgica
174;Grostenquin;-541668.995894048;5523851.24404331;Belgica
175;Le Crotoy;-877144.948572708;5744947.37407298;Belgica
176;Gloucester;-1090534.60998064;6002523.13726591;Britannia
177;Ehl;-490040.892308821;5444743.62155062;Germania Superior
178;Sardegna;-575458.086551936;4490908.56801042;Corsica et Sardinia
179;Watercrook;-1029688.03104876;6282621.22662161;Britannia
180;Caudebec-en-Caux;-961973.632189123;5686861.24332677;Lugdunensis
181;Hengistbury Head;-1096640.02516094;5869277.78268762;Britannia
182;Cap de Creus;-958638.936518974;4839186.48105521;Tarraconensis
