id;name;x;y;province
0;London;-955534.176698202;5921032.25118975;Britannia
1;Volubilis;-1981744.8567853;4107083.95851789;Mauretania Tingitana
2;Isla de Cabrera;-1064829.23760549;4491345.3112758;Tarraconensis
3;Toulouse;-1080282.31246224;5017282.64795687;Narbonensis
4;Sallèles;-966491.801529943;4950736.93238566;Narbonensis
5;Bardon Mill;-978749.816941154;6343418.25156511;Britannia
6;Caudebec-lès-Elbeuf;-948082.257820173;5653686.91376687;Lugdunensis
7;Golfe de Fos;-801415.473039121;4930388.13719504;Narbonensis
8;Nîmes;-838407.36197678;4989987.83476454;Narbonensis
9;Ampurias;-979826.647826815;4822915.54316754;Tarraconensis
10;Isère;-691685.887607956;5114642.70749281;Narbonensis
11;Alicante;-1383717.62069951;4469340.82399089;Tarraconensis
12;Ostia Antica;-225025.730008559;4658894.83827206;Italia
13;St. Albans;-955595.339807476;5959109.64154238;Britannia
14;Caerleon;-1146543.75279093;5995036.12651936;Britannia
15;Agde;-922220.482272064;4946998.48359386;Narbonensis
16;Frankfurt am Main;-379275.935695407;5624503.54261325;Germania Superior
17;Augst;-498816.986459172;5350972.71357136;Germania Superior
18;Mandeure;-568880.665403057;5353577.55336691;Germania Superior
19;Saint-Romain-de-Jalionas;-727018.271474666;5189667.212828;Narbonensis
20;Nijmegen;-539777.65547751;5851583.40331866;Germania Inferior
21;Edinburgh;-865236.498132087;5867415.45833038;Britannia
22;Lyon?;-755826.511770254;5194589.90619483;Lugdunensis
23;Narbonne;-963254.645016083;4941243.02255826;Narbonensis
24;Southwark;-955335.120889118;5919273.73475023;Britannia
25;Biesheim;-501857.132580865;5409126.80892363;Germania Superior
26;Vienne;-758879.15566038;5169350.34629686;Narbonensis
27;Château Rousillon;-980032.018657195;4889603.53053768;Narbonensis
28;Chester;-1083293.76877323;6165894.85261533;Britannia
29;Salé (Sala);-2101407.232689;4138956.41491875;Mauretania Tingitana
30;Mainz;-410621.150909084;5614880.89712105;Germania Superior
