id;name;x;y;province
0;London;-955534.176698202;5921032.25118975;Britannia
1;Narbonne;-963254.645016083;4941243.02255826;Narbonensis
2;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;Tarraconensis
3;Volubilis;-1981744.8567853;4107083.95851789;Mauretania Tingitana
4;Isla de Cabrera;-1064829.23760549;4491345.3112758;Tarraconensis
5;Monrealer Wald;-485508.314167858;5662757.01216428;Germania Superior
6;Cartago;-452266.787599882;4133617.898619;Africa Proconsularis
7;Vienne;-758879.15566038;5169350.34629686;Narbonensis
8;Toulouse;-1080282.31246224;5017282.64795687;Narbonensis
9;Budapest;355651.547686503;5262510.12218402;Pannonia Inferior
10;Roanne;-746791.260024395;5070566.32837079;Narbonensis
11;Sallèles;-966491.801529943;4950736.93238566;Narbonensis
12;Rade d'Agay;-644407.601679123;4907006.12023081;Narbonensis
13;Golfe de Fos;-801415.473039121;4930388.13719504;Narbonensis
14;Bardon Mill;-978749.816941154;6343418.25156511;Britannia
15;Haute-Goulaine;-1194521.19363448;5476793.24020693;Aquitania
16;Caudebec-lès-Elbeuf;-948082.257820173;5653686.91376687;Lugdunensis
17;Alayor;-943841.974507915;4559035.89454766;Tarraconensis
18;Groß-Gerau;-397282.299510888;5605440.03849431;Germania Superior
19;Nîmes;-838407.36197678;4989987.83476454;Narbonensis
20;Ampurias;-979826.647826815;4822915.54316754;Tarraconensis
21;Isère;-691685.887607956;5114642.70749281;Narbonensis
22;Alicante;-1383717.62069951;4469340.82399089;Tarraconensis
23;Ostia Antica;-225025.730008559;4658894.83827206;Italia
24;St. Albans;-955595.339807476;5959109.64154238;Britannia
25;Colchester;-876175.305477212;5941478.42952925;Britannia
26;Vicenza;-237571.667911811;5087669.12549354;Italia
27;Caerleon;-1146543.75279093;5995036.12651936;Britannia
28;Canale Giancola;233795.948793698;4508377.81717628;Italia
29;Agde;-922220.482272064;4946998.48359386;Narbonensis
30;Frankfurt am Main;-379275.935695407;5624503.54261325;Germania Superior
31;Badalona;-1069736.07970487;4761771.56669318;Tarraconensis
32;Bazzano;-288410.452576565;4975474.66446589;Italia
33;Augst;-498816.986459172;5350972.71357136;Germania Superior
34;Brindisi;240645.609957865;4502577.12341599;Italia
35;Millau;-934727.098543339;5041594.05908084;Narbonensis
36;Mandeure;-568880.665403057;5353577.55336691;Germania Superior
37;Saint-Romain-de-Jalionas;-727018.271474666;5189667.212828;Narbonensis
38;Nijmegen;-539777.65547751;5851583.40331866;Germania Inferior
39;Mataró;-1050607.07509535;4768620.89854006;Tarraconensis
40;Lyon?;-755826.511770254;5194589.90619483;Lugdunensis
41;Mont-Beuvray;-790246.352069834;5338595.2411637;Lugdunensis
42;Edinburgh;-865236.498132087;5867415.45833038;Britannia
43;Cartagena;-1452124.75367952;4397135.65286717;Tarraconensis
44;Southwark;-955335.120889118;5919273.73475023;Britannia
45;Pegognaga;-299962.220808676;5033318.87168372;Italia
46;Biesheim;-501857.132580865;5409126.80892363;Germania Superior
47;Pompeya;-50303.1971126798;4531481.16830034;Italia
48;Îles Lavezzi;-483582.993933958;4643721.57298741;Corsica et Sardinia
49;Erice;-239266.445257543;4243104.33619344;Sicilia
50;Château Rousillon;-980032.018657195;4889603.53053768;Narbonensis
51;Albinia;-301448.562629968;4751597.12113327;Italia
52;Cersot;-750592.359770907;5304813.20105814;Lugdunensis
53;Chester;-1083293.76877323;6165894.85261533;Britannia
54;Salé (Sala);-2101407.232689;4138956.41491875;Mauretania Tingitana
55;Mainz;-410621.150909084;5614880.89712105;Germania Superior
56;Sant Boi de Llobregat;-1089519.33047454;4753980.0419975;Tarraconensis
57;Tanger (Tingi);-1946505.43346597;4308761.98020494;Mauretania Tingitana
58;Grand;-646762.55342218;5476506.59187768;Germania Superior
59;Nuits-Saint-Georges;-715804.369211464;5346795.26307407;Lugdunensis
60;Windisch;-462125.147268262;5337858.92669794;Germania Superior
61;Rouen;-939056.180158775;5669239.91002062;Lugdunensis
62;Boulogne-sur-Mer;-863480.893894455;5800540.97391836;Belgica
63;Kastell Marienfels;-419781.280693783;5409600.67897651;Germania Superior
64;Musselburgh;-984974.702031385;6463151.13379174;Caledonia
65;Akoris;1461925.46758347;3156973.80593278;Aegyptus
66;Annecy;-653092.195004184;5192323.61841003;Narbonensis
67;Fishbourne;-1026850.05284645;5861498.96172383;Britannia
68;Yverdon;-595776.135074637;5281610.68344417;Germania Superior
69;Winchester;-1056206.19754392;5892734.20401508;Britannia
70;Carlisle;-1019166.01774611;6347771.26986266;Britannia
71;Puerto de Mazarrón;-1476887.21110004;4398670.71151903;Tarraconensis
72;Genève;-645305.35403197;5224104.61887438;Narbonensis
73;Corbridge;-959109.411125592;6336532.95218347;Britannia
74;Fréjus;-655067.376539272;4908806.22959773;Narbonensis
75;Poitiers;-1080805.8615119;5370433.84179591;Aquitania
76;Barcelona;-1076901.0270608;4757664.54939025;Tarraconensis
77;Lezhë;387286.117176116;4626640.32341537;Dalmatia
78;Tróia;-2012503.05042723;4870850.7794243;Lusitania
79;Xanten;-503646.03044109;5823979.8486064;Germania Inferior
80;Saint-Marcel;-990361.536447914;5348613.50325219;Aquitania
81;Cosa;-126747.516295848;5132485.96656627;Italia
82;Port de la Selva;-967933.382900799;4843381.39650221;Tarraconensis
83;Caldes de Montbui;-1071468.83523448;4783511.1801006;Tarraconensis
84;Strasbourg;-472968.972905322;5467893.56574991;Germania Superior
85;Verdun-sur-le-Doubs;-715890.262411627;5319102.72167087;Lugdunensis
86;Bad Wimpfen;-361335.878109782;5520861.34718471;Germania Superior
87;Avenches;-562819.917346189;5287347.9059035;Germania Superior
88;Sagunto;-1330753.11177619;4615198.80884794;Tarraconensis
89;Chedworth;-1069291.35015805;5991375.1162584;Britannia
90;Banasa;-2017700.18137408;4182958.28687812;Mauretania Tingitana
91;Canosa;86392.9070640808;4574557.96661678;Italia
92;Gaujac;-815217.147641653;5013869.99732797;Narbonensis
93;Santa Pola;-1397612.5973699;4453973.59713314;Tarraconensis
94;Altino;-171829.409941474;5079587.11299808;Italia
95;Silchester;-1027506.4505164;5923648.71862759;Britannia
96;Colònia de Sant Jordi;-1056457.37729975;4509704.15038045;Tarraconensis
97;Magreta;-309536.367089009;4989385.16760459;Italia
98;Le Caylar;-921409.297016111;5011126.4729609;Narbonensis
99;Stockstadt am Main;-354755.539387405;5604578.83609556;Germania Superior
100;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;Germania Superior
101;Bouc-Bel-Air;-761796.417509834;4930599.25659574;Narbonensis
