id;name;x;y;code
0;London;-955534.176698202;5921032.25118975;PAR
1;Isola di Giannutri;-317058.028747677;4725246.08883145;CASSIUSFECIT
2;Lyon?;-755826.511770254;5194589.90619483;AFRICANI
3;Brindisi;240645.609957865;4502577.12341599;ANINIANA
4;Rebecques;-816695.662067158;5779207.96925722;SCALENSIA
5;Île de Porquerolles;-706238.442912149;4867845.60383004;MLIVICAVS
6;San Pedro;-1425659.29010458;4414207.09190867;NICIA
7;Narbonne;-963254.645016083;4941243.02255826;PA
8;Bregenz;-345522.867144488;5322218.32288708;ROMANI
7;Narbonne;-963254.645016083;4941243.02255826;QFS
9;Kempten;-300643.27273879;5342086.36235854;PHILOC
10;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;THE
11;Canale Giancola;233795.948793698;4508377.81717628;DIOCLES
12;Volubilis;-1981744.8567853;4107083.95851789;MAR
13;Bad Wimpfen;-361335.878109782;5520861.34718471;PNNSH
14;Isla de Cabrera;-1064829.23760549;4491345.3112758;PNN
10;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;SIGNUM
15;Edinburgh;-865236.498132087;5867415.45833038;CANTONIQVIET
16;Monrealer Wald;-485508.314167858;5662757.01216428;CDA
17;Mainz;-410621.150909084;5614880.89712105;AVGN
18;Cartago;-452266.787599882;4133617.898619;OPT
19;Alise-Sainte-Reine;-741107.494160932;5398662.61806195;NEVVEENEVVELE
2;Lyon?;-755826.511770254;5194589.90619483;POLYCLIT
20;Chicester;-1025696.772362;5861141.41927802;ISSI
21;Vienne;-758879.15566038;5169350.34629686;LIC
22;Beziers;-941931.524635747;4955300.3005907;LVALEAME
12;Volubilis;-1981744.8567853;4107083.95851789;AVSPILEPTI
23;Fréjus;-655067.376539272;4908806.22959773;LANSEC
24;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;QIMFN
25;Barcelona;-1076901.0270608;4757664.54939025;V
26;Augst;-498816.986459172;5350972.71357136;CANTONIQVIETI
27;Köln;-485175.276326217;5737049.38507196;PQFLFL
28;Port-Vendres;-971780.259372865;4865280.20794199;CFAV
29;Capalbio;-288371.874814686;4744460.90411078;MHNODOPOYEM
11;Canale Giancola;233795.948793698;4508377.81717628;CERDO
25;Barcelona;-1076901.0270608;4757664.54939025;P
30;Toulouse;-1080282.31246224;5017282.64795687;MAR
26;Augst;-498816.986459172;5350972.71357136;CIALB
31;Bagnols-sur-Cèze;-810232.995344663;5021967.80917584;EC
32;Sardegna;-575458.086551936;4490908.56801042;CHRISMON
33;Mataró;-1050607.07509535;4768620.89854006;V
34;Budapest;355651.547686503;5262510.12218402;MCA
11;Canale Giancola;233795.948793698;4508377.81717628;APOLLONIDES
11;Canale Giancola;233795.948793698;4508377.81717628;VISELLI
35;Padova;-213255.361586905;5069825.09673237;CLAEKBAS
36;Amiens;-838509.28860994;5697360.82226357;QANTR
21;Vienne;-758879.15566038;5169350.34629686;EHE
35;Padova;-213255.361586905;5069825.09673237;LIVI
37;Luni;-382418.632762495;4938653.5025105;QETAVR
38;Roanne;-746791.260024395;5070566.32837079;ACA
11;Canale Giancola;233795.948793698;4508377.81717628;VISELLI
39;Colònia de Sant Jordi;-1056457.37729975;4509704.15038045;CL
17;Mainz;-410621.150909084;5614880.89712105;ALBIN
40;Saint-Romain-en-Gal;-759714.286352101;5170310.04524175;SPERATVS
41;Egna;-249187.067030091;5175469.93625528;AVRESIS
11;Canale Giancola;233795.948793698;4508377.81717628;EPIGENVS
11;Canale Giancola;233795.948793698;4508377.81717628;LVCAO
35;Padova;-213255.361586905;5069825.09673237;LAEK
42;Sallèles;-966491.801529943;4950736.93238566;CMS
43;Ostia Antica;-225025.730008559;4658894.83827206;LAENTEISVRI
44;Rade d'Agay;-644407.601679123;4907006.12023081;ACA
45;Mahón;-935653.239258351;4551508.82449145;H
46;Santa Pola;-1397612.5973699;4453973.59713314;DILALL
47;Pompeya;-50303.1971126798;4531481.16830034;AYSIOES
11;Canale Giancola;233795.948793698;4508377.81717628;DEMETRI
48;Antioch;1867252.48177217;4115154.34763007;GMMF
11;Canale Giancola;233795.948793698;4508377.81717628;DIOCLES
49;Golfe de Fos;-801415.473039121;4930388.13719504;ANT
0;London;-955534.176698202;5921032.25118975;AMPPLPS
11;Canale Giancola;233795.948793698;4508377.81717628;HERMAISCI
50;Nuits-Saint-Georges;-715804.369211464;5346795.26307407;OIAEL
51;York;-936866.068451985;6208531.92561426;FSCIMNIANO
2;Lyon?;-755826.511770254;5194589.90619483;SCALENSIAGEME
52;Bardon Mill;-978749.816941154;6343418.25156511;APH
43;Ostia Antica;-225025.730008559;4658894.83827206;P
0;London;-955534.176698202;5921032.25118975;LATRV
11;Canale Giancola;233795.948793698;4508377.81717628;SCOPAS
3;Brindisi;240645.609957865;4502577.12341599;BAHANO
53;Haute-Goulaine;-1194521.19363448;5476793.24020693;CDV
54;Split;132693.76564072;4827923.63000075;SCOROBRES
55;Tortona;-457942.185853519;5043981.67891239;ACRISPIN
56;Cap Caveaux;-775952.897246632;4911372.70331241;LVOLTEILI
10;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;GAM
57;Almásfüzitó;294945.265201933;5289638.04980118;PMSP
58;Mont-Beuvray;-790246.352069834;5338595.2411637;AVRO
59;Villeneuve-Saint-Germain;-777064.107278702;5621115.00858356;SIGNUM
10;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;P
6;San Pedro;-1425659.29010458;4414207.09190867;TREB
60;Caudebec-lès-Elbeuf;-948082.257820173;5653686.91376687;MEL
61;Avenches;-562819.917346189;5287347.9059035;LANNISECLANISEC
62;Stockstadt am Main;-354755.539387405;5604578.83609556;FALBLIC
10;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;PH
63;Frankfurt am Main;-379275.935695407;5624503.54261325;QIIALFS
64;Falkirk;-1025329.69888547;6486477.8300989;Q
49;Golfe de Fos;-801415.473039121;4930388.13719504;PRIMIPRM
3;Brindisi;240645.609957865;4502577.12341599;APOLONI
65;Alayor;-943841.974507915;4559035.89454766;MCN
66;Velzeke-Ruddershove;-708643.229311126;5779979.56871276;PHIILEROTIS
10;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;SYNE
49;Golfe de Fos;-801415.473039121;4930388.13719504;CFO
11;Canale Giancola;233795.948793698;4508377.81717628;THEARION
11;Canale Giancola;233795.948793698;4508377.81717628;CERDO
11;Canale Giancola;233795.948793698;4508377.81717628;LVCAON
12;Volubilis;-1981744.8567853;4107083.95851789;MEE
