id;name;x;y;code
0;London;-955534.176698202;5921032.25118975;PAR
1;Edinburgh;-865236.498132087;5867415.45833038;CANTONIQVIET
2;Chicester;-1025696.772362;5861141.41927802;ISSI
0;London;-955534.176698202;5921032.25118975;AMPPLPS
3;York;-936866.068451985;6208531.92561426;FSCIMNIANO
4;Bardon Mill;-978749.816941154;6343418.25156511;APH
0;London;-955534.176698202;5921032.25118975;LATRV
5;Falkirk;-1025329.69888547;6486477.8300989;Q
6;Walton le Dale;-1046764.55943348;6217801.38446881;FVCRM
7;Abernethy;-985937.986230463;6512319.20159027;PQ
4;Bardon Mill;-978749.816941154;6343418.25156511;QSP
8;Lanark;-1040632.55535968;6449417.56979681;MMCS
9;Carlisle;-1019166.01774611;6347771.26986266;QIMF
10;Wroxeter;-1086155.86087837;6102062.58848629;GNACGNAC
11;St. Albans;-955595.339807476;5959109.64154238;LMA
12;Caerleon;-1146543.75279093;5995036.12651936;COI
12;Caerleon;-1146543.75279093;5995036.12651936;SFE
13;Bishopbriggs;-1057437.86137986;6486603.90365619;MCPRI
0;London;-955534.176698202;5921032.25118975;MI
0;London;-955534.176698202;5921032.25118975;QC
1;Edinburgh;-865236.498132087;5867415.45833038;SCALENSIA
1;Edinburgh;-865236.498132087;5867415.45833038;LAR
11;St. Albans;-955595.339807476;5959109.64154238;MS
14;Housesteads;-976846.213437393;6348805.48164578;FSCIMNIANO
11;St. Albans;-955595.339807476;5959109.64154238;LFCESCCVFP
0;London;-955534.176698202;5921032.25118975;CSEMPOL
15;Eye;-845746.474575521;5984035.5931986;IIIENNIIVL
4;Bardon Mill;-978749.816941154;6343418.25156511;LQA
16;Southwark;-955335.120889118;5919273.73475023;MIM
0;London;-955534.176698202;5921032.25118975;MIM
17;Chester;-1083293.76877323;6165894.85261533;STATIANIENSIA
0;London;-955534.176698202;5921032.25118975;LSELSENC
0;London;-955534.176698202;5921032.25118975;PONTICI
1;Edinburgh;-865236.498132087;5867415.45833038;CANTONGANTON
18;Sea Mills;-1130507.59281524;5973691.4532889;HISPSAENI
19;Old Kilpatrick;-1069729.52656975;6493477.9618953;LSPBOER
20;Lincoln;-926993.142952562;6117472.83278893;Q
17;Chester;-1083293.76877323;6165894.85261533;QSP
0;London;-955534.176698202;5921032.25118975;PORTPAH
21;Southend;-1166862.44797334;6458330.38200072;SILVESTRI
22;Cirencester;-1076201.6810463;5985621.38794828;FSCIMNIANO
23;Sandy;-948362.466508639;5990709.86665984;PORLATPA
0;London;-955534.176698202;5921032.25118975;ROMANIROMNI
24;Musselburgh;-984974.702031385;6463151.13379174;LAL
4;Bardon Mill;-978749.816941154;6343418.25156511;LAFP
25;Caersws;-1143533.7461897;6104126.71403034;O
0;London;-955534.176698202;5921032.25118975;MAVRI
26;Winchester;-1056206.19754392;5892734.20401508;QMS
9;Carlisle;-1019166.01774611;6347771.26986266;QFG
