id;name;x;y;code
0;London;-955534.176698202;5921032.25118975;PAR
1;Lyon?;-755826.511770254;5194589.90619483;AFRICANI
2;Rebecques;-816695.662067158;5779207.96925722;SCALENSIA
3;Bregenz;-345522.867144488;5322218.32288708;ROMANI
4;Kempten;-300643.27273879;5342086.36235854;PHILOC
5;Volubilis;-1981744.8567853;4107083.95851789;MAR
6;Bad Wimpfen;-361335.878109782;5520861.34718471;PNNSH
7;Isla de Cabrera;-1064829.23760549;4491345.3112758;PNN
8;Edinburgh;-865236.498132087;5867415.45833038;CANTONIQVIET
9;Mainz;-410621.150909084;5614880.89712105;AVGN
1;Lyon?;-755826.511770254;5194589.90619483;POLYCLIT
10;Chicester;-1025696.772362;5861141.41927802;ISSI
11;Beziers;-941931.524635747;4955300.3005907;LVALEAME
12;Fréjus;-655067.376539272;4908806.22959773;LANSEC
13;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;QIMFN
14;Augst;-498816.986459172;5350972.71357136;CANTONIQVIETI
15;Köln;-485175.276326217;5737049.38507196;PQFLFL
16;Port-Vendres;-971780.259372865;4865280.20794199;CFAV
17;Toulouse;-1080282.31246224;5017282.64795687;MAR
14;Augst;-498816.986459172;5350972.71357136;CIALB
18;Amiens;-838509.28860994;5697360.82226357;QANTR
19;Saint-Romain-en-Gal;-759714.286352101;5170310.04524175;SPERATVS
20;Sallèles;-966491.801529943;4950736.93238566;CMS
21;Ostia Antica;-225025.730008559;4658894.83827206;LAENTEISVRI
22;Antioch;1867252.48177217;4115154.34763007;GMMF
0;London;-955534.176698202;5921032.25118975;AMPPLPS
23;York;-936866.068451985;6208531.92561426;FSCIMNIANO
1;Lyon?;-755826.511770254;5194589.90619483;SCALENSIAGEME
24;Bardon Mill;-978749.816941154;6343418.25156511;APH
21;Ostia Antica;-225025.730008559;4658894.83827206;P
0;London;-955534.176698202;5921032.25118975;LATRV
25;Split;132693.76564072;4827923.63000075;SCOROBRES
26;Almásfüzitó;294945.265201933;5289638.04980118;PMSP
27;Caudebec-lès-Elbeuf;-948082.257820173;5653686.91376687;MEL
28;Avenches;-562819.917346189;5287347.9059035;LANNISECLANISEC
29;Stockstadt am Main;-354755.539387405;5604578.83609556;FALBLIC
30;Frankfurt am Main;-379275.935695407;5624503.54261325;QIIALFS
31;Falkirk;-1025329.69888547;6486477.8300989;Q
32;Golfe de Fos;-801415.473039121;4930388.13719504;PRIMIPRM
33;Velzeke-Ruddershove;-708643.229311126;5779979.56871276;PHIILEROTIS
32;Golfe de Fos;-801415.473039121;4930388.13719504;CFO
