id;name;x;y;code
0;London;-955534.176698202;5921032.25118975;PAR
1;Volubilis;-1981744.8567853;4107083.95851789;MAR
2;Isla de Cabrera;-1064829.23760549;4491345.3112758;PNN
3;Toulouse;-1080282.31246224;5017282.64795687;MAR
4;Sallèles;-966491.801529943;4950736.93238566;CMS
5;Bardon Mill;-978749.816941154;6343418.25156511;APH
6;Caudebec-lès-Elbeuf;-948082.257820173;5653686.91376687;MEL
7;Golfe de Fos;-801415.473039121;4930388.13719504;CFO
1;Volubilis;-1981744.8567853;4107083.95851789;MEE
5;Bardon Mill;-978749.816941154;6343418.25156511;QSP
8;Nîmes;-838407.36197678;4989987.83476454;QCC
9;Ampurias;-979826.647826815;4822915.54316754;APN
10;Isère;-691685.887607956;5114642.70749281;MIM
8;Nîmes;-838407.36197678;4989987.83476454;QCP
11;Alicante;-1383717.62069951;4469340.82399089;QSP
12;Ostia Antica;-225025.730008559;4658894.83827206;BEL
13;St. Albans;-955595.339807476;5959109.64154238;LMA
14;Caerleon;-1146543.75279093;5995036.12651936;COI
15;Agde;-922220.482272064;4946998.48359386;SNR
14;Caerleon;-1146543.75279093;5995036.12651936;SFE
16;Frankfurt am Main;-379275.935695407;5624503.54261325;MIM
17;Augst;-498816.986459172;5350972.71357136;QSD
18;Mandeure;-568880.665403057;5353577.55336691;QMR
12;Ostia Antica;-225025.730008559;4658894.83827206;CAP
19;Saint-Romain-de-Jalionas;-727018.271474666;5189667.212828;MIM
20;Nijmegen;-539777.65547751;5851583.40331866;LIT
21;Edinburgh;-865236.498132087;5867415.45833038;LAR
22;Lyon?;-755826.511770254;5194589.90619483;QSP
5;Bardon Mill;-978749.816941154;6343418.25156511;LQA
23;Narbonne;-963254.645016083;4941243.02255826;QCR
24;Southwark;-955335.120889118;5919273.73475023;MIM
0;London;-955534.176698202;5921032.25118975;MIM
25;Biesheim;-501857.132580865;5409126.80892363;VIR
19;Saint-Romain-de-Jalionas;-727018.271474666;5189667.212828;LQS
26;Vienne;-758879.15566038;5169350.34629686;SNR
27;Château Rousillon;-980032.018657195;4889603.53053768;AIS
28;Chester;-1083293.76877323;6165894.85261533;QSP
29;Salé (Sala);-2101407.232689;4138956.41491875;LFO
16;Frankfurt am Main;-379275.935695407;5624503.54261325;DOM
30;Mainz;-410621.150909084;5614880.89712105;LLI
22;Lyon?;-755826.511770254;5194589.90619483;AIS
31;Grand;-646762.55342218;5476506.59187768;LIT
32;Nuits-Saint-Georges;-715804.369211464;5346795.26307407;ROM
33;Rouen;-939056.180158775;5669239.91002062;RVF
12;Ostia Antica;-225025.730008559;4658894.83827206;PNN
34;Kastell Marienfels;-419781.280693783;5409600.67897651;QCR
12;Ostia Antica;-225025.730008559;4658894.83827206;CSP
35;Musselburgh;-984974.702031385;6463151.13379174;LAL
12;Ostia Antica;-225025.730008559;4658894.83827206;LCM
36;Annecy;-653092.195004184;5192323.61841003;MIM
7;Golfe de Fos;-801415.473039121;4930388.13719504;PMV
37;Winchester;-1056206.19754392;5892734.20401508;QMS
38;Carlisle;-1019166.01774611;6347771.26986266;QFG
39;Puerto de Mazarrón;-1476887.21110004;4398670.71151903;IAP
40;Genève;-645305.35403197;5224104.61887438;LFO
41;Corbridge;-959109.411125592;6336532.95218347;GAF
42;Fréjus;-655067.376539272;4908806.22959773;QND
12;Ostia Antica;-225025.730008559;4658894.83827206;VRS
30;Mainz;-410621.150909084;5614880.89712105;MAR
43;Tróia;-2012503.05042723;4870850.7794243;CAS
44;Saint-Marcel;-990361.536447914;5348613.50325219;LQS
45;Bad Wimpfen;-361335.878109782;5520861.34718471;MVL
5;Bardon Mill;-978749.816941154;6343418.25156511;APN
0;London;-955534.176698202;5921032.25118975;GAF
11;Alicante;-1383717.62069951;4469340.82399089;QAN
1;Volubilis;-1981744.8567853;4107083.95851789;MAR
46;Avenches;-562819.917346189;5287347.9059035;MAR
26;Vienne;-758879.15566038;5169350.34629686;QCR
47;Chedworth;-1069291.35015805;5991375.1162584;QIM
48;Banasa;-2017700.18137408;4182958.28687812;MEE
0;London;-955534.176698202;5921032.25118975;CAM
15;Agde;-922220.482272064;4946998.48359386;QFC
49;Gaujac;-815217.147641653;5013869.99732797;LFO
14;Caerleon;-1146543.75279093;5995036.12651936;DOM
50;Santa Pola;-1397612.5973699;4453973.59713314;QIS
7;Golfe de Fos;-801415.473039121;4930388.13719504;QCR
51;Silchester;-1027506.4505164;5923648.71862759;LQS
52;Le Caylar;-921409.297016111;5011126.4729609;LQS
53;Stockstadt am Main;-354755.539387405;5604578.83609556;CIA
54;Colchester;-876175.305477212;5941478.42952925;CEC
55;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;MCC
12;Ostia Antica;-225025.730008559;4658894.83827206;QSP
30;Mainz;-410621.150909084;5614880.89712105;LIT
41;Corbridge;-959109.411125592;6336532.95218347;DAP
7;Golfe de Fos;-801415.473039121;4930388.13719504;LIT
56;Hedelbergen;-364381.091630155;5635819.07704197;QMR
26;Vienne;-758879.15566038;5169350.34629686;MPR
57;Arles;-819575.716550027;4968506.84339518;SEC
58;Loughor;-1219225.95849582;6027004.36027018;GAF
59;Köln;-485175.276326217;5737049.38507196;QSP
60;Rheinhessen;-421553.915554691;5599578.84723776;MIM
