id;name;x;y;code
0;London;-955534.176698202;5921032.25118975;PAR
1;Narbonne;-963254.645016083;4941243.02255826;QFS
2;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;THE
3;Volubilis;-1981744.8567853;4107083.95851789;MAR
4;Isla de Cabrera;-1064829.23760549;4491345.3112758;PNN
5;Monrealer Wald;-485508.314167858;5662757.01216428;CDA
6;Cartago;-452266.787599882;4133617.898619;OPT
7;Vienne;-758879.15566038;5169350.34629686;LIC
8;Toulouse;-1080282.31246224;5017282.64795687;MAR
9;Budapest;355651.547686503;5262510.12218402;MCA
7;Vienne;-758879.15566038;5169350.34629686;EHE
10;Roanne;-746791.260024395;5070566.32837079;ACA
11;Sallèles;-966491.801529943;4950736.93238566;CMS
12;Rade d'Agay;-644407.601679123;4907006.12023081;ACA
13;Golfe de Fos;-801415.473039121;4930388.13719504;ANT
14;Bardon Mill;-978749.816941154;6343418.25156511;APH
15;Haute-Goulaine;-1194521.19363448;5476793.24020693;CDV
2;Sant Vicenç dels Horts;-1090919.96526603;4760579.64264189;GAM
16;Caudebec-lès-Elbeuf;-948082.257820173;5653686.91376687;MEL
17;Alayor;-943841.974507915;4559035.89454766;MCN
13;Golfe de Fos;-801415.473039121;4930388.13719504;CFO
3;Volubilis;-1981744.8567853;4107083.95851789;MEE
18;Groß-Gerau;-397282.299510888;5605440.03849431;COM
14;Bardon Mill;-978749.816941154;6343418.25156511;QSP
19;Nîmes;-838407.36197678;4989987.83476454;QCC
20;Ampurias;-979826.647826815;4822915.54316754;APN
21;Isère;-691685.887607956;5114642.70749281;MIM
19;Nîmes;-838407.36197678;4989987.83476454;QCP
22;Alicante;-1383717.62069951;4469340.82399089;QSP
1;Narbonne;-963254.645016083;4941243.02255826;HIL
23;Ostia Antica;-225025.730008559;4658894.83827206;BEL
24;St. Albans;-955595.339807476;5959109.64154238;LMA
25;Colchester;-876175.305477212;5941478.42952925;AQA
26;Vicenza;-237571.667911811;5087669.12549354;LAE
27;Caerleon;-1146543.75279093;5995036.12651936;COI
28;Canale Giancola;233795.948793698;4508377.81717628;NIC
29;Agde;-922220.482272064;4946998.48359386;SNR
27;Caerleon;-1146543.75279093;5995036.12651936;SFE
30;Frankfurt am Main;-379275.935695407;5624503.54261325;MIM
31;Badalona;-1069736.07970487;4761771.56669318;VAS
32;Bazzano;-288410.452576565;4975474.66446589;CMS
33;Augst;-498816.986459172;5350972.71357136;QSD
34;Brindisi;240645.609957865;4502577.12341599;STR
35;Millau;-934727.098543339;5041594.05908084;FLA
36;Mandeure;-568880.665403057;5353577.55336691;QMR
23;Ostia Antica;-225025.730008559;4658894.83827206;CAP
37;Saint-Romain-de-Jalionas;-727018.271474666;5189667.212828;MIM
38;Nijmegen;-539777.65547751;5851583.40331866;LIT
39;Mataró;-1050607.07509535;4768620.89854006;IMP
