idSite;numCodes
0;294
1;3
2;257
3;169
4;1
5;20
6;21
7;192
8;35
9;60
10;64
11;67
12;93
13;14
14;36
15;122
16;1
17;296
18;62
19;73
20;18
21;221
22;9
23;91
24;29
25;72
26;198
27;91
28;27
29;7
30;47
31;1
32;48
33;50
34;10
35;267
36;66
37;3
38;78
39;15
40;96
41;3
42;5
43;439
44;67
45;23
46;31
47;21
48;1
49;308
50;97
51;66
52;94
53;2
54;7
55;74
56;1
57;1
58;275
59;17
60;3
61;116
62;14
63;132
64;15
65;20
66;4
67;77
68;41
69;20
70;116
71;1
72;44
73;58
74;33
75;1
76;31
77;28
78;4
79;15
80;8
81;3
82;14
83;80
84;23
85;47
86;154
87;82
88;88
89;1
90;1
91;7
92;35
93;19
94;15
95;40
96;66
97;3
98;91
99;65
100;135
101;1
102;32
103;1
104;18
105;45
106;75
107;32
108;23
109;5
110;15
111;2
112;24
113;7
114;103
115;6
116;13
117;1
118;73
119;6
120;22
121;64
122;3
123;11
124;2
125;115
126;2
127;8
128;10
129;43
130;10
131;58
132;33
133;49
134;4
135;3
136;23
137;9
138;1
139;2
140;2
141;14
142;18
143;20
144;13
145;53
146;1
147;28
148;6
149;2
150;10
151;90
152;61
153;6
154;12
155;1
156;16
157;25
158;11
159;5
160;27
161;41
162;8
163;2
164;3
165;23
166;25
167;12
168;41
169;7
170;94
171;3
172;4
173;6
174;7
175;4
176;5
177;34
178;80
179;2
180;22
181;1
182;17
183;5
184;7
185;30
186;71
187;8
188;1
189;22
190;38
191;64
192;93
193;1
194;8
195;24
196;14
197;18
198;5
199;72
200;21
201;1
202;1
203;5
204;10
205;9
206;1
207;25
208;4
209;8
210;6
211;60
212;9
213;18
214;3
215;28
216;3
217;4
218;19
219;19
220;5
221;17
222;4
223;103
224;5
225;4
226;8
227;36
228;17
229;18
230;2
231;3
232;5
233;8
234;7
235;26
236;20
237;22
238;9
239;31
240;16
241;51
242;2
243;4
244;57
245;2
246;6
247;46
248;9
249;37
250;18
251;53
252;29
253;14
254;22
255;16
256;1
257;1
258;14
259;6
260;16
261;1
262;35
263;1
264;5
265;3
266;12
267;1
268;1
269;6
270;5
271;36
272;11
273;5
274;5
275;2
276;4
277;1
278;28
279;4
280;2
281;40
282;6
283;9
284;5
285;14
286;17
287;1
288;1
289;2
290;16
291;2
292;31
293;7
294;10
295;19
296;12
297;4
298;28
299;8
300;6
301;21
302;2
303;6
304;4
305;83
306;7
307;17
308;2
309;30
310;32
311;4
312;27
313;6
314;9
315;3
316;2
317;3
318;18
319;2
320;8
321;2
322;3
323;13
324;2
325;23
326;6
327;37
328;11
329;22
330;3
331;5
332;12
333;13
334;2
335;2
336;2
337;2
338;11
339;36
340;3
341;8
342;1
343;5
344;7
345;2
346;1
347;26
348;24
349;6
350;1
351;3
352;5
353;4
354;12
355;20
356;33
357;5
358;6
359;4
360;7
361;18
362;1
363;18
364;1
365;9
366;4
367;2
368;2
369;6
370;5
371;1
372;2
373;1
374;14
375;2
376;7
377;13
378;3
379;6
380;2
381;6
382;5
383;1
384;1
385;22
386;4
387;1
388;2
389;1
390;3
391;1
392;1
393;6
394;5
395;22
396;1
397;17
398;8
399;1
400;6
401;9
402;5
403;3
404;1
405;15
406;12
407;8
408;21
409;8
410;6
411;10
412;1
413;9
414;3
415;4
416;1
417;8
418;5
419;11
420;1
421;7
422;1
423;2
424;16
425;11
426;13
427;4
428;1
429;9
430;3
431;1
432;12
433;8
434;12
435;17
436;2
437;1
438;1
439;1
440;2
441;2
442;6
443;23
444;17
445;7
446;11
447;5
448;30
449;2
450;2
451;2
452;4
453;10
454;11
455;10
456;18
457;1
458;3
459;2
460;1
461;4
462;22
463;6
464;1
465;1
466;26
467;1
468;15
469;5
470;7
471;2
472;5
473;3
474;6
475;3
476;1
477;1
478;2
479;8
480;1
481;11
482;6
483;11
484;2
485;1
486;16
487;11
488;4
489;7
490;3
491;3
492;4
493;7
494;6
495;8
496;7
497;16
498;2
499;3
500;2
501;4
502;3
503;3
504;15
505;1
506;9
507;7
508;7
509;2
510;1
511;1
512;3
513;1
514;1
515;4
516;4
517;1
518;1
519;30
520;1
521;9
522;3
523;1
524;4
525;5
526;3
527;23
528;8
529;1
530;2
531;1
532;2
533;5
534;2
535;2
536;4
537;4
538;8
539;1
540;1
541;1
542;3
543;4
544;5
545;2
546;1
547;1
548;2
549;7
550;2
551;1
552;1
553;2
554;5
555;4
556;1
557;6
558;6
559;1
560;1
561;1
562;7
563;11
564;1
565;4
566;1
567;7
568;1
569;1
570;1
571;4
572;2
573;3
574;7
575;1
576;1
577;1
578;5
579;1
580;1
581;7
582;2
583;1
584;1
585;3
586;7
587;1
588;1
589;1
590;9
591;1
592;3
593;2
594;1
595;1
596;1
597;12
598;1
599;3
600;9
601;2
602;1
603;2
604;6
605;1
606;4
607;2
608;6
609;2
610;4
611;4
612;1
613;1
614;8
615;3
616;9
617;2
618;10
619;6
620;9
621;16
622;1
623;3
624;1
625;2
626;5
627;3
628;2
629;4
630;4
631;2
632;1
633;3
634;3
635;1
636;1
637;3
638;10
639;11
640;2
641;10
642;3
643;2
644;7
645;2
646;1
647;1
648;9
649;10
650;2
651;4
652;5
653;1
654;8
655;2
656;3
657;7
658;3
659;1
660;2
661;1
662;1
663;2
664;1
665;4
666;1
667;1
668;1
669;9
670;1
671;3
672;2
673;5
674;3
675;2
676;1
677;1
678;2
679;1
680;3
681;1
682;1
683;7
684;2
685;1
686;1
687;3
688;3
689;5
690;2
691;2
692;1
693;2
694;6
695;1
696;4
697;1
698;3
699;2
700;3
701;1
702;3
703;1
704;1
705;2
706;2
707;1
708;1
709;6
710;1
711;3
712;1
713;7
714;6
