idSite;numCodes
0;246
1;201
2;1
3;19
4;47
5;57
6;14
7;9
8;117
9;265
10;15
11;7
12;53
13;29
14;187
15;90
16;23
17;36
18;54
19;83
20;5
21;277
22;1
23;45
24;91
25;7
26;1
27;3
28;100
29;14
30;132
31;15
32;176
33;1
34;72
35;1
36;70
37;32
38;4
39;15
40;8
41;3
42;14
43;22
44;30
45;50
46;67
47;1
48;1
49;34
50;19
51;54
52;15
53;65
54;86
55;64
56;1
57;32
58;199
59;15
60;70
61;30
62;3
63;13
64;60
65;18
66;3
67;2
68;108
69;8
70;9
71;8
72;1
73;59
74;13
75;42
76;2
77;8
78;60
79;8
80;1
81;4
82;24
83;3
84;41
85;9
86;4
87;5
88;31
89;54
90;1
91;2
92;2
93;20
94;19
95;29
96;71
97;40
98;21
99;90
100;1
101;22
102;14
103;5
104;64
105;19
106;1
107;1
108;6
109;32
110;22
111;3
112;4
113;19
114;15
115;3
116;3
117;102
118;5
119;8
120;36
121;3
122;5
123;8
124;26
125;14
126;49
127;1
128;2
129;4
130;37
131;37
132;56
133;14
134;51
135;1
136;1
137;1
138;2
139;124
140;17
141;6
142;35
143;5
144;4
145;1
146;3
147;1
148;17
149;1
150;2
151;2
152;10
153;4
154;2
155;73
156;7
157;16
158;16
159;1
160;2
161;2
162;8
163;3
164;11
165;6
166;26
167;11
168;18
169;3
170;12
171;2
172;2
173;1
174;7
175;23
176;8
177;6
178;1
179;3
180;18
181;3
182;3
183;4
184;1
185;16
186;1
187;4
188;9
189;2
190;2
191;5
192;4
193;5
194;12
195;2
196;1
197;2
198;3
199;5
200;2
201;1
202;20
203;2
204;11
205;30
206;7
207;3
208;5
209;3
210;1
211;17
212;8
213;1
214;1
215;15
216;4
217;20
218;5
219;1
220;1
221;4
222;2
223;1
224;1
225;1
226;6
227;17
228;17
229;12
230;11
231;1
232;1
233;4
234;2
235;3
236;9
237;18
238;1
239;7
240;1
241;1
242;5
243;7
244;10
245;9
246;2
247;4
248;4
249;1
250;2
251;6
252;7
253;6
254;11
255;8
256;1
257;3
258;3
259;3
260;4
261;5
262;6
263;7
264;7
265;12
266;16
267;7
268;2
269;22
270;1
271;3
272;1
273;1
274;1
275;3
276;1
277;1
278;2
279;5
280;11
281;1
282;1
283;3
284;3
285;1
286;2
287;7
288;5
289;1
290;6
291;1
292;1
293;1
294;4
295;1
296;1
297;4
298;1
299;5
300;15
301;1
302;3
303;1
304;7
305;1
306;3
307;3
308;1
309;3
310;5
311;6
312;4
313;10
314;1
315;8
316;3
317;2
318;9
319;1
320;1
321;1
322;3
323;1
324;1
325;1
326;1
327;3
328;2
329;1
330;10
331;1
332;1
333;5
334;2
335;3
336;13
337;1
338;1
339;4
340;2
341;1
342;1
343;9
344;2
345;1
346;2
347;1
348;1
349;7
350;1
351;1
352;3
353;1
354;4
355;2
356;1
357;2
358;3
359;1
360;2
361;1
362;1
363;3
364;1
365;1
366;5
367;3
368;2
369;5
370;3
371;1
372;2
373;1
374;3
375;1
376;1
377;2
378;1
379;3
380;1
381;3
382;2
383;1
384;2
385;4
386;1
387;3
388;1
389;2
390;2
391;5
392;1
393;1
394;1
395;1
396;1
397;1
398;1
399;2
400;1
401;1
402;10
403;7
404;2
405;2
406;3
407;1
408;2
409;7
410;1
411;4
412;1
413;4
414;5
415;1
416;1
417;1
418;2
419;1
420;1
421;2
422;1
423;5
424;2
425;4
426;1
427;3
428;2
429;1
430;1
431;1
432;2
433;1
434;1
435;3
436;2
437;3
438;1
439;2
440;1
441;2
442;1
443;4
444;5
445;1
446;1
447;3
448;4
449;1
450;8
451;1
452;4
453;5
454;2
455;2
456;1
457;1
458;1
459;4
460;4
461;3
462;2
463;1
464;1
465;2
466;2
467;1
468;2
469;1
470;4
471;1
472;3
473;1
474;1
475;1
476;1
477;2
478;10
479;1
480;2
481;1
482;2
483;2
484;1
485;1
486;2
487;1
488;2
489;1
490;2
491;2
492;1
493;1
494;3
495;1
496;1
497;1
498;1
499;7
500;1
501;1
502;1
503;3
504;1
505;1
506;1
507;1
508;2
509;2
510;1
511;1
512;1
513;1
514;4
515;1
516;2
517;1
518;1
519;3
520;1
521;1
522;1
523;4
524;1
525;1
526;4
527;2
528;1
529;1
530;1
531;3
532;1
533;1
534;7
535;1
536;2
537;1
538;2
539;1
540;3
541;1
542;1
543;1
544;1
545;1
546;1
547;4
548;1
549;2
550;2
551;1
552;1
553;2
554;4
555;1
556;1
557;1
558;2
559;1
560;2
561;1
562;3
563;5
564;1
565;3
566;1
567;1
568;1
569;7
570;1
571;1
572;1
573;1
574;1
575;2
576;1
577;1
578;1
579;1
580;1
581;1
582;1
583;1
584;1
585;1
586;1
587;1
588;1
589;1
590;1
591;1
592;1
593;1
594;1
595;1
596;1
597;1
598;2
599;1
600;1
601;1
602;1
603;1
604;1
605;1
606;1
607;2
608;2
609;1
610;1
611;1
612;2
613;1
614;1
615;2
616;2
617;1
618;1
619;1
620;1
621;1
622;2
623;1
624;1
625;1
626;2
627;1
628;1
629;1
630;1
631;1
632;1
633;1
634;2
635;1
636;1
637;1
638;1
639;1
640;1
641;1
642;1
643;1
644;1
645;1
646;2
647;1
648;1
649;1
650;1
651;1
652;1
653;1
654;1
655;2
656;1
657;2
658;2
659;1
660;4
661;1
662;1
663;1
664;1
665;1
666;1
667;3
668;1
669;1
670;1
671;1
672;1
673;1
674;1
675;2
676;1
677;1
678;1
679;1
680;1
681;1
682;1
683;1
684;1
685;1
686;1
687;1
688;1
689;1
690;2
691;1
692;1
693;1
694;1
695;1
696;1
697;1
698;1
699;1
700;1
701;1
702;1
