idSite;numCodes
0;43
1;12
2;2
3;8
4;2
5;21
6;1
7;29
8;10
9;15
10;1
11;2
12;50
13;15
14;14
15;6
16;26
17;35
18;1
19;3
20;23
21;31
22;34
23;9
24;5
25;3
26;38
27;4
28;11
29;13
30;42
31;6
32;18
33;7
34;11
35;1
36;3
37;4
38;8
39;2
40;12
41;34
42;11
43;3
44;1
45;5
46;12
47;1
48;12
49;2
50;5
51;8
52;1
53;5
54;27
55;8
56;5
57;14
58;1
59;20
60;5
61;20
62;10
63;1
64;12
65;5
66;4
67;9
68;1
69;14
70;5
71;6
72;7
73;9
74;2
75;2
76;2
77;9
78;3
79;1
80;5
81;18
82;1
83;19
84;1
85;4
86;3
87;2
88;4
89;12
90;1
91;1
92;9
93;1
94;1
95;1
96;4
97;2
98;2
99;2
100;4
101;5
102;1
103;3
104;3
105;8
106;1
107;1
108;5
109;12
110;10
111;4
112;3
113;5
114;7
115;2
116;3
117;7
118;1
119;4
120;6
121;11
122;7
123;1
124;10
125;4
126;6
127;1
128;1
129;3
130;2
131;1
132;1
133;2
134;2
135;3
136;11
137;7
138;1
139;6
140;3
141;1
142;12
143;3
144;2
145;1
146;1
147;13
148;3
149;2
150;1
151;8
152;1
153;2
154;8
155;3
156;2
157;8
158;4
159;3
160;1
161;1
162;2
163;5
164;2
165;1
166;1
167;1
168;1
169;2
170;4
171;5
172;1
173;2
174;1
175;5
176;7
177;1
178;5
179;1
180;1
181;2
182;4
183;2
184;4
185;1
186;1
187;1
188;1
189;3
190;3
191;1
192;3
193;15
194;3
195;2
196;1
197;1
198;2
199;1
200;3
201;2
202;1
203;1
204;1
205;1
206;5
207;1
208;1
209;3
210;1
211;2
212;2
213;1
214;2
215;1
216;1
217;3
218;1
219;1
220;1
221;1
222;1
223;4
224;2
225;2
226;2
227;1
228;1
229;1
230;1
231;1
232;2
233;3
234;2
235;1
236;2
237;2
238;1
239;1
240;1
241;1
242;1
243;1
244;1
245;1
246;2
247;1
248;2
249;2
250;2
251;1
252;1
253;4
254;1
255;2
256;1
257;1
258;1
259;1
260;2
261;2
262;4
263;2
264;1
265;1
266;1
267;1
268;1
269;1
270;1
271;1
272;2
273;1
274;1
275;1
276;1
277;1
278;2
279;1
280;1
281;1
282;1
283;1
284;2
285;1
286;2
287;1
288;1
289;1
290;1
291;1
292;1
293;2
294;1
295;1
296;1
297;1
298;1
299;1
300;1
301;1
302;3
303;1
304;1
305;1
306;1
307;1
308;2
309;1
310;2
311;1
312;1
313;1
314;1
315;1
316;1
317;1
318;1
319;1
320;1
321;1
322;1
323;1
324;1
325;1
326;1
327;1
328;1
329;1
330;1
331;1
332;1
333;1
334;1
335;1
