idSite;numCodes
0;31
1;71
2;275
3;1
4;267
5;67
6;168
7;6
8;86
9;88
10;21
11;274
12;21
13;78
14;17
15;49
16;151
17;183
18;3
19;22
20;50
21;64
22;67
23;21
24;105
25;8
26;89
27;18
28;252
29;10
30;8
31;44
32;2
33;23
34;23
35;103
36;116
37;6
38;21
39;225
40;7
41;57
42;69
43;380
44;3
45;4
46;9
47;3
48;22
49;4
50;259
51;185
52;78
53;78
54;20
55;94
56;22
57;111
58;45
59;26
60;7
61;177
62;6
63;22
64;31
65;90
66;58
67;26
68;77
69;12
70;62
71;20
72;27
73;31
74;48
75;92
76;4
77;7
78;111
79;8
80;31
81;57
82;63
83;1
84;83
85;1
86;14
87;35
88;67
89;15
90;17
91;15
92;9
93;73
94;55
95;22
96;41
97;25
98;70
99;67
100;10
101;107
102;40
103;7
104;101
105;10
106;1
107;3
108;23
109;64
110;86
111;11
112;25
113;91
114;1
115;28
116;34
117;62
118;1
119;28
120;32
121;46
122;9
123;3
124;13
125;3
126;77
127;24
128;12
129;6
130;16
131;5
132;13
133;17
134;8
135;30
136;28
137;6
138;14
139;7
140;3
141;17
142;3
143;31
144;7
145;78
146;5
147;5
148;40
149;77
150;1
151;2
152;33
153;45
154;3
155;36
156;3
157;28
158;61
159;7
160;17
161;20
162;10
163;79
164;7
165;5
166;53
167;65
168;59
169;46
170;7
171;5
172;31
173;5
174;12
175;3
176;1
177;1
178;2
179;15
180;8
181;8
182;3
183;6
184;20
185;9
186;3
187;5
188;6
189;1
190;35
191;20
192;25
193;5
194;11
195;2
196;3
197;12
198;14
199;3
200;1
201;9
202;1
203;29
204;13
205;5
206;3
207;35
208;16
209;5
210;14
211;4
212;2
213;4
214;26
215;38
216;10
217;11
218;28
219;1
220;51
221;1
222;37
223;16
224;6
225;2
226;6
227;7
228;1
229;5
230;7
231;17
232;6
233;23
234;8
235;18
236;7
237;1
238;20
239;19
240;4
241;4
242;12
243;1
244;14
245;10
246;2
247;4
248;10
249;59
250;31
251;17
252;3
253;22
254;13
255;28
256;7
257;25
258;30
259;17
260;10
261;1
262;1
263;85
264;23
265;10
266;26
267;2
268;1
269;30
270;4
271;1
272;2
273;3
274;4
275;3
276;35
277;15
278;2
279;1
280;59
281;23
282;2
283;13
284;21
285;3
286;13
287;7
288;3
289;28
290;10
291;17
292;2
293;9
294;23
295;2
296;43
297;6
298;2
299;11
300;4
301;8
302;9
303;2
304;5
305;12
306;9
307;73
308;1
309;9
310;6
311;8
312;21
313;17
314;2
315;2
316;1
317;3
318;1
319;5
320;35
321;2
322;2
323;8
324;1
325;7
326;17
327;4
328;15
329;14
330;5
331;11
332;2
333;3
334;12
335;6
336;4
337;2
338;2
339;1
340;1
341;1
342;9
343;3
344;22
345;2
346;35
347;2
348;40
349;22
350;4
351;6
352;1
353;53
354;7
355;4
356;9
357;4
358;7
359;4
360;1
361;9
362;1
363;12
364;6
365;5
366;18
367;9
368;14
369;1
370;13
371;1
372;1
373;1
374;7
375;1
376;11
377;20
378;22
379;13
380;18
381;31
382;1
383;2
384;1
385;1
386;2
387;3
388;6
389;8
390;20
391;8
392;18
393;6
394;9
395;5
396;18
397;5
398;16
399;7
400;1
401;6
402;4
403;37
404;9
405;6
406;6
407;1
408;2
409;23
410;2
411;1
412;6
413;1
414;4
415;5
416;3
417;3
418;11
419;2
420;2
421;1
422;17
423;8
424;2
425;10
426;1
427;1
428;4
429;11
430;5
431;2
432;2
433;19
434;6
435;5
436;9
437;18
438;4
439;2
440;16
441;6
442;3
443;1
444;1
445;1
446;8
447;1
448;2
449;1
450;2
451;2
452;15
453;6
454;4
455;3
456;11
457;1
458;1
459;3
460;5
461;3
462;13
463;1
464;2
465;10
466;1
467;2
468;2
469;2
470;2
471;4
472;1
473;1
474;3
475;1
476;2
477;11
478;4
479;1
480;1
481;3
482;1
483;5
484;6
485;1
486;3
487;1
488;2
489;12
490;9
491;4
492;1
493;18
494;1
495;2
496;6
497;4
498;5
499;1
500;22
501;4
502;11
503;3
504;1
505;4
506;5
507;1
508;1
509;4
510;8
511;2
512;1
513;1
514;5
515;8
516;6
517;2
518;8
519;2
520;1
521;7
522;5
523;8
524;16
525;2
526;1
527;2
528;2
529;1
530;8
531;8
532;1
533;2
534;1
535;16
536;1
537;7
538;1
539;3
540;5
541;5
542;1
543;1
544;1
545;2
546;5
547;1
548;3
549;1
550;3
551;1
552;2
553;2
554;3
555;2
556;4
557;3
558;1
559;5
560;2
561;3
562;1
563;14
564;7
565;1
566;7
567;6
568;1
569;5
570;3
571;3
572;1
573;1
574;1
575;5
576;4
577;6
578;6
579;3
580;5
581;12
582;4
583;7
584;5
585;2
586;2
587;4
588;2
589;5
590;5
591;2
592;1
593;4
594;1
595;3
596;2
597;2
598;1
599;1
600;3
601;4
602;2
603;1
604;9
605;1
606;3
607;1
608;2
609;1
610;4
611;1
612;9
613;3
614;2
615;5
616;15
617;2
618;7
619;1
620;2
621;1
622;1
623;7
624;3
625;1
626;2
627;5
628;1
629;1
630;11
631;17
632;12
633;4
634;8
635;1
636;2
637;3
638;1
639;1
640;3
641;4
642;1
643;3
644;6
645;3
646;2
647;1
648;2
649;18
650;5
651;1
652;3
653;1
654;3
655;4
656;2
657;3
658;1
659;5
660;1
661;1
662;1
663;1
664;1
665;1
666;1
667;1
668;1
669;2
670;1
671;1
672;2
673;1
674;5
675;4
676;1
677;2
678;1
679;3
680;1
681;1
682;6
683;5
684;1
685;6
686;2
687;4
688;6
689;5
690;1
691;3
692;1
693;1
694;6
695;1
696;1
697;1
698;1
699;1
700;2
701;1
702;2
703;3
704;4
705;6
706;3
707;7
708;8
709;1
710;1
711;3
712;1
713;1
714;1
715;6
716;2
717;1
718;1
719;1
720;1
721;2
722;4
723;8
724;5
725;4
726;2
727;3
728;1
729;5
730;1
731;1
732;3
733;1
734;1
735;3
736;1
737;3
738;5
739;2
740;1
741;7
742;5
743;5
744;2
745;1
746;3
747;6
748;1
749;1
750;2
751;7
752;3
753;1
754;4
755;4
756;1
757;1
758;1
759;2
760;1
761;9
762;3
763;4
764;1
765;3
766;1
767;2
768;1
769;7
770;4
771;4
772;3
773;2
774;1
775;1
776;1
777;2
778;2
779;1
780;1
781;1
782;3
783;1
784;3
785;1
786;3
787;4
788;1
789;1
790;1
791;4
792;3
793;2
794;5
795;7
796;3
797;1
798;1
799;10
800;1
801;4
802;3
803;1
804;2
805;3
806;1
807;2
808;1
809;1
810;1
811;10
812;1
813;2
814;1
815;1
816;3
817;1
818;2
819;3
820;3
821;4
822;1
823;1
824;2
825;1
826;1
827;2
828;1
829;1
830;1
831;5
832;3
833;1
834;1
835;1
836;1
837;7
838;1
839;2
840;2
841;9
842;1
843;1
844;2
845;1
846;1
847;10
848;4
849;2
850;1
851;3
852;2
853;3
854;1
855;3
856;2
857;1
858;2
859;1
860;1
861;3
862;3
863;2
864;2
865;1
866;1
867;3
868;2
869;1
870;2
871;2
872;1
873;1
874;1
875;1
876;1
877;5
878;1
879;1
880;1
881;3
882;1
883;3
884;4
885;1
886;2
887;1
888;1
889;1
890;1
891;1
892;1
893;1
894;1
895;3
896;1
897;2
898;1
899;2
900;1
901;2
902;1
903;2
904;5
905;4
906;1
907;1
908;4
909;1
910;1
911;4
912;1
913;1
914;1
915;4
916;2
917;1
918;1
919;1
920;1
921;2
922;1
923;1
924;4
925;1
926;4
927;1
928;1
929;1
930;1
931;1
932;1
933;1
934;1
935;1
936;3
937;1
938;1
939;3
940;1
941;1
942;3
943;4
944;3
945;1
946;2
947;1
948;1
949;1
950;1
951;2
952;1
953;3
954;1
955;1
956;2
957;1
958;4
959;1
960;1
961;1
962;1
963;4
964;2
965;4
966;1
967;1
968;1
969;2
970;1
971;3
972;1
973;1
974;1
975;1
976;1
977;3
978;2
979;2
980;2
981;1
982;1
983;3
984;2
985;1
986;1
987;1
988;1
989;1
990;1
991;2
992;1
993;3
994;2
995;1
996;2
997;4
998;1
999;2
1000;3
1001;3
1002;1
1003;3
1004;1
1005;2
1006;6
1007;2
1008;2
1009;2
1010;1
1011;1
1012;1
1013;1
1014;1
1015;2
1016;1
1017;2
1018;1
1019;1
1020;1
1021;3
1022;1
1023;1
1024;2
1025;1
1026;1
1027;1
1028;1
1029;1
1030;2
1031;1
1032;1
1033;2
1034;1
1035;1
1036;1
1037;1
1038;1
1039;2
1040;2
1041;1
1042;1
1043;2
1044;1
1045;2
1046;1
1047;1
1048;2
1049;1
1050;2
1051;1
1052;1
1053;1
1054;1
1055;1
1056;1
1057;1
1058;1
1059;1
1060;1
1061;1
1062;1
1063;2
1064;1
1065;1
1066;1
1067;2
1068;1
1069;2
1070;1
1071;1
1072;3
1073;1
1074;1
1075;1
1076;1
1077;1
1078;1
1079;3
1080;1
1081;2
1082;1
1083;1
1084;1
1085;2
1086;1
1087;1
1088;1
1089;3
1090;1
1091;1
1092;1
1093;4
1094;1
1095;8
1096;1
1097;1
1098;2
1099;1
1100;1
1101;3
1102;1
1103;1
1104;3
1105;1
1106;2
1107;1
1108;1
1109;1
1110;2
1111;1
1112;1
1113;1
1114;1
1115;1
1116;1
1117;1
1118;1
1119;2
1120;1
1121;1
1122;1
1123;1
1124;1
1125;1
1126;1
1127;1
1128;2
1129;1
1130;1
1131;1
1132;1
1133;1
1134;2
1135;1
1136;1
1137;1
1138;1
1139;1
1140;1
1141;2
1142;1
1143;1
1144;1
1145;1
1146;1
1147;2
1148;1
1149;2
1150;1
1151;1
1152;1
1153;1
1154;1
1155;1
1156;1
1157;1
1158;2
1159;3
1160;2
1161;1
1162;2
1163;1
1164;1
1165;1
1166;2
1167;1
1168;1
1169;1
1170;1
1171;2
1172;1
1173;1
1174;1
1175;1
1176;1
1177;1
1178;1
1179;1
1180;1
1181;1
1182;1
1183;1
1184;1
1185;1
1186;1
1187;1
1188;1
1189;1
1190;1
1191;1
1192;1
1193;2
1194;1
1195;2
1196;1
1197;1
1198;1
1199;1
1200;1
1201;1
1202;2
1203;1
1204;2
1205;2
1206;1
1207;1
1208;1
1209;1
1210;1
1211;1
1212;1
1213;1
1214;1
1215;1
1216;1
1217;1
1218;1
1219;1
1220;1
1221;1
1222;1
1223;1
1224;1
1225;2
1226;2
1227;1
1228;1
1229;1
1230;1
1231;1
1232;1
1233;1
1234;1
1235;1
1236;1
1237;1
1238;1
1239;1
1240;1
1241;1
1242;1
1243;2
1244;1
1245;1
1246;2
1247;1
1248;1
1249;1
1250;1
1251;1
1252;1
1253;1
1254;1
1255;1
1256;1
1257;1
1258;1
1259;1
1260;1
1261;1
1262;1
1263;1
1264;2
1265;1
1266;1
1267;1
1268;1
1269;1
1270;1
1271;1
1272;1
1273;2
1274;1
1275;1
1276;1
1277;1
1278;1
1279;1
1280;1
1281;1
1282;1
1283;1
1284;1
1285;1
1286;1
1287;2
1288;1
1289;1
1290;1
1291;1
1292;1
1293;1
1294;1
1295;1
1296;1
1297;1
1298;1
1299;1
1300;1
1301;1
1302;1
1303;1
1304;1
1305;1
1306;1
1307;1
1308;1
1309;1
1310;1
1311;2
1312;1
1313;1
1314;1
1315;1
1316;2
1317;1
1318;1
1319;1
1320;1
1321;1
1322;1
1323;2
1324;1
1325;1
1326;1
1327;1
1328;1
1329;1
1330;1
1331;1
1332;1
1333;1
1334;1
1335;1
