idSite;numCodes
0;54
1;35
2;13
3;20
4;7
5;1
6;13
7;46
8;8
9;5
10;14
11;2
12;20
13;65
14;21
15;1
16;1
17;5
18;14
19;15
20;32
21;1
22;2
23;87
24;15
25;30
26;12
27;14
28;2
29;6
30;26
31;27
32;1
33;38
34;6
35;2
36;2
37;3
38;26
39;18
40;46
41;54
42;32
43;8
44;5
45;6
46;5
47;3
48;5
49;6
50;9
51;4
52;3
53;11
54;14
55;53
56;15
57;2
58;7
59;23
60;15
61;8
62;5
63;15
64;1
65;1
66;3
67;3
68;1
69;4
70;9
71;3
72;17
73;34
74;24
75;7
76;15
77;4
78;3
79;7
80;1
81;3
82;2
83;7
84;15
85;1
86;5
87;15
88;9
89;1
90;20
91;3
92;3
93;6
94;11
95;8
96;2
97;1
98;4
99;5
100;8
101;2
102;2
103;7
104;8
105;1
106;5
107;15
108;1
109;21
110;14
111;6
112;21
113;3
114;7
115;10
116;1
117;12
118;2
119;40
120;7
121;1
122;3
123;5
124;6
125;10
126;1
127;1
128;4
129;1
130;14
131;13
132;5
133;2
134;1
135;8
136;7
137;3
138;8
139;3
140;2
141;1
142;2
143;3
144;5
145;2
146;1
147;2
148;11
149;3
150;1
151;5
152;1
153;3
154;3
155;20
156;1
157;23
158;4
159;8
160;3
161;2
162;7
163;3
164;2
165;12
166;9
167;14
168;4
169;13
170;2
171;1
172;1
173;18
174;1
175;2
176;1
177;10
178;7
179;1
180;4
181;11
182;2
183;2
184;4
185;6
186;3
187;9
188;5
189;3
190;5
191;1
192;3
193;1
194;3
195;12
196;3
197;5
198;1
199;9
200;7
201;5
202;14
203;3
204;1
205;1
206;10
207;4
208;11
209;3
210;5
211;7
212;9
213;1
214;2
215;3
216;1
217;2
218;3
219;1
220;2
221;6
222;7
223;6
224;12
225;1
226;9
227;1
228;1
229;1
230;3
231;4
232;1
233;2
234;6
235;2
236;1
237;2
238;3
239;2
240;1
241;1
242;3
243;2
244;1
245;1
246;2
247;4
248;7
249;6
250;1
251;1
252;4
253;3
254;4
255;22
256;9
257;3
258;1
259;5
260;2
261;2
262;2
263;1
264;1
265;1
266;14
267;2
268;1
269;3
270;1
271;1
272;9
273;2
274;3
275;2
276;10
277;3
278;1
279;2
280;4
281;2
282;6
283;4
284;1
285;1
286;1
287;4
288;2
289;4
290;1
291;2
292;1
293;1
294;1
295;1
296;3
297;1
298;2
299;5
300;5
301;3
302;5
303;1
304;1
305;2
306;1
307;5
308;1
309;3
310;7
311;1
312;1
313;1
314;5
315;4
316;2
317;1
318;1
319;4
320;1
321;6
322;1
323;4
324;7
325;1
326;2
327;1
328;3
329;4
330;1
331;1
332;1
333;2
334;4
335;3
336;2
337;3
338;5
339;1
340;1
341;1
342;1
343;3
344;1
345;3
346;1
347;1
348;3
349;1
350;1
351;1
352;1
353;3
354;15
355;1
356;1
357;3
358;1
359;1
360;1
361;2
362;1
363;2
364;1
365;1
366;1
367;1
368;1
369;1
370;1
371;2
372;1
373;1
374;1
375;1
376;4
377;1
378;2
379;2
380;1
381;1
382;1
383;1
384;1
385;3
386;1
387;1
388;1
389;1
390;1
391;2
392;1
393;1
394;1
395;1
396;6
397;1
398;2
399;2
400;2
401;1
402;2
403;2
404;3
405;2
406;1
407;1
408;2
409;1
410;2
411;1
412;1
413;1
414;1
415;2
416;3
417;2
418;1
419;2
420;1
421;4
422;2
423;1
424;1
425;1
426;1
427;2
428;1
429;1
430;1
431;1
432;1
433;2
434;1
435;1
436;1
437;2
438;1
439;1
440;1
441;1
442;1
443;2
444;2
445;2
446;1
447;1
448;1
449;2
450;3
451;1
452;4
453;1
454;1
455;1
456;1
457;1
458;2
459;1
460;4
461;1
462;1
463;4
464;1
465;1
466;1
467;1
468;1
469;2
470;2
471;1
472;1
473;1
474;2
475;4
476;1
477;2
478;2
479;1
480;1
481;1
482;2
483;1
484;1
485;1
486;1
487;3
488;1
489;1
490;1
491;1
492;1
493;2
494;1
495;3
496;2
497;1
498;1
499;1
500;1
501;1
502;1
503;1
504;1
505;1
506;1
507;2
508;1
509;1
510;1
511;1
512;1
513;1
514;1
515;1
516;1
517;1
518;1
519;1
520;1
521;2
522;1
523;1
524;1
525;2
526;1
527;1
528;1
529;1
530;1
531;1
532;1
533;1
534;1
535;1
536;2
537;1
538;1
539;1
540;1
541;1
542;1
543;1
544;1
545;2
546;1
547;1
548;1
549;1
550;1
551;2
552;1
553;1
554;1
555;3
556;1
557;1
558;1
559;1
560;1
561;1
562;2
563;1
564;2
565;1
566;1
567;1
568;1
569;1
570;1
571;1
572;1
573;1
574;1
575;1
576;1
577;1
578;1
579;1
580;1
581;1
582;1
583;1
584;1
585;1
586;1
587;1
588;1
589;1
590;1
591;1
592;1
593;1
594;1
595;1
596;1
597;1
598;1
599;1
600;1
601;1
602;1
